Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
TIL,HLA-E,KLRK1,TIL,54.0,0.7826086956521741,1.905339364910042,0.1632222286964774,2.0,0.028985507246376812,0.07052591573410798,0.9937548246954636,0.1343758034945245,0.1622028772646708
Endo,COL8A1,ITGA1,CAF,11.0,0.1325301204819277,0.1906250799429195,0.1370486049252629,560.0,0.3982930298719772,0.6720050559486774,0.3459185560202598,0.1281010175122627,0.04740765552033803
ETC,ARF1,CHRM3,ETC,2515.0,0.7948798988621998,1.2230801853079132,0.1883658094671484,235.0,0.07427307206068268,0.1023845086239766,0.7642443717096079,0.1252244637804728,0.1439575097077925
TIL,HLA-B,KLRD1,Endo,69.0,1.0,2.475308144834659,0.1793502289261881,3.0,0.03614457831325301,0.049662033955004535,0.1088441904383415,0.1229288371378781,0.01952123047240216
CAF,THBS1,TNFRSF11B,Endo,847.0,0.6024182076813656,1.067169131825533,0.4000345935358526,6.0,0.07228915662650602,0.11514304485408,0.3267464416642716,0.1228771032126769,0.1307098799804531
DC,ARF1,CHRM3,ETC,91.0,0.65,1.1996201833528959,0.18475274933303698,235.0,0.07427307206068268,0.1023845086239766,0.7642443717096079,0.1228225230079909,0.1411962488356495
TAM,LGALS1,PTPRC,Endo,532.0,0.9943925233644859,1.9342466602174009,0.1712147790937404,4.0,0.04819277108433735,0.06278840333731711,0.014863339077623891,0.1214482594555887,0.002544823316770734
CAF,ARF1,CHRM3,ETC,976.0,0.6941678520625889,1.1817898104701798,0.1820067048287608,235.0,0.07427307206068268,0.1023845086239766,0.7642443717096079,0.1209969690418118,0.1390975997787924
EMT,HLA-B,KLRD1,Endo,1.0,1.0,2.4322278338764103,0.1762288140636804,3.0,0.03614457831325301,0.049662033955004535,0.1088441904383415,0.1207893812722774,0.0191814825986703
EMT,HLA-E,KLRD1,Endo,1.0,1.0,2.4322278338764103,0.2083584977323222,3.0,0.03614457831325301,0.049662033955004535,0.1088441904383415,0.1207893812722774,0.02267861200662362
DC,ZG16B,CXCR4,TAM,7.0,0.05,0.08634909519138162,0.0731453026677564,391.0,0.7308411214953271,1.39438131952898,0.2211334145701629,0.1204035652930922,0.016174870538689018
TAM,RTN4,CNTNAP1,Endo,446.0,0.8336448598130841,1.585704204426138,0.2152665875210516,5.0,0.060240963855421686,0.07581065980314193,0.7217493656340871,0.1202132819901618,0.1553685229855337
Endo,LTF,LRP1,CAF,5.0,0.060240963855421686,0.0917056628147253,0.7390646005765676,1031.0,0.7332859174964438,1.294152851048957,0.4640587465167204,0.11868114498901101,0.3429693921384426
TAM,HLA-E,KLRK1,TIL,460.0,0.8598130841121495,1.6332429070614711,0.1399128954152864,2.0,0.028985507246376812,0.07052591573410798,0.9937548246954636,0.1151859516367469,0.1390391148560527
Endo,HLA-E,KLRK1,TIL,80.0,0.9638554216867471,1.6117348775683111,0.1380703950327318,2.0,0.028985507246376812,0.07052591573410798,0.9937548246954636,0.1136690781611056,0.1372081212113858
CAF,LGALS1,PTPRC,Endo,1390.0,0.9886201991465148,1.804474842949142,0.15972769552618699,4.0,0.04819277108433735,0.06278840333731711,0.014863339077623891,0.1133000942511327,0.0023740868986931872
DC,HLA-E,KLRK1,TIL,119.0,0.85,1.5933491825186592,0.1364953716130693,2.0,0.028985507246376812,0.07052591573410798,0.9937548246954636,0.1123724101813207,0.1356429340890879
EMT,COL1A1,GP6,TIL,1.0,1.0,2.4322278338764103,0.3483765734631925,1.0,0.01449275362318841,0.04611581754297798,0.4312099313101923,0.1121641750099971,0.1502234383131434
CAF,RTN4,CNTNAP1,Endo,1179.0,0.8385490753911806,1.471453553271915,0.1997565398542937,5.0,0.060240963855421686,0.07581065980314193,0.7217493656340871,0.1115518647432215,0.1441741559210967
DC,LGALS1,PTPRC,Endo,131.0,0.9357142857142856,1.7714039022930481,0.156800336820954,4.0,0.04819277108433735,0.06278840333731711,0.014863339077623891,0.1112236226904734,0.002330576573655475
Endo,ARF1,CHRM3,ETC,59.0,0.7108433734939759,1.077838415738674,0.1659972159587324,235.0,0.07427307206068268,0.1023845086239766,0.7642443717096079,0.1103539565714495,0.1268624380159256
CAF,BSG,SLC16A7,Endo,1106.0,0.7866287339971549,1.359784654950414,0.1502884981155723,5.0,0.060240963855421686,0.0807403905041565,0.2396317640319691,0.1097895440422561,0.03601389791714985
DC,ZG16B,CXCR4,DC,7.0,0.05,0.08634909519138162,0.0731453026677564,95.0,0.6785714285714286,1.271028956911999,0.2015710977499661,0.1097522003913967,0.014743978953993181
