Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
Endo,GDF9,TGFBR1,EMT,1.0,0.01818181818181818,0.02151098894347618,0.2776159607247952,201.0,0.2034412955465587,0.2751557733128888,0.1384605745434636,0.005918872797467188,0.03843886542439075
CAF,BST2,LILRA4,CAF,288.0,0.8299711815561959,1.381559639214232,0.1549057517894702,1.0,0.002881844380403458,0.0042835682519134,0.0164920495354831,0.005918005008663014,0.0025547133318431924
Endo,TNC,ITGAV,TIL,2.0,0.03636363636363636,0.045585114486461284,0.07375748607630063,8.0,0.07692307692307693,0.1298157896448183,0.039043411520608085,0.0059176676331094144,0.0028797438816025264
TAM,COL4A5,CD93,Endo,2.0,0.0033726812816188873,0.005250706528774891,0.01669650752091644,39.0,0.7090909090909091,1.1265277388596178,0.6333699982776728,0.005915066553276213,0.010575066939766
CAF,TNFSF14,LTBR,TIL,11.0,0.031700288184438034,0.056056283819220634,0.06918805974453751,7.0,0.0673076923076923,0.10544188136909599,0.03204221902176206,0.005910680028458636,0.00221693896402523
TAM,CCL3L1,ACKR2,TAM,262.0,0.4418212478920742,0.7563745117365502,0.837179041081597,3.0,0.005059021922428329,0.007813037478315665,0.1730318914736118,0.005909582407840379,0.1448586729804133
EMT,PTN,SDC3,TAM,11.0,0.0111336032388664,0.01652800018797124,0.02331735155029566,129.0,0.2175379426644182,0.3571955722435119,0.2519469824597523,0.005903728485183258,0.005874736362050219
ETC,MDK,PTPRZ1,EMT,292.0,0.647450110864745,1.137209900689979,0.2463153731500125,3.0,0.003036437246963563,0.005186942047873968,0.1999601317336611,0.005898641851147429,0.049253254463102386
Endo,IL33,IL1RL1,TIL,5.0,0.09090909090909093,0.1545010801659551,0.7946013091561862,2.0,0.019230769230769232,0.03817524635318135,0.1001399630790122,0.005898116797167955,0.07957134576143525
EMT,VCAN,SELP,TAM,532.0,0.5384615384615384,0.7830904958087078,0.2651806686205647,3.0,0.005059021922428329,0.007531659898639072,0.0129142521728702,0.005897971284287833,0.003424610025936302
DC,APOD,LEPR,EMT,1.0,0.015625,0.03224094398878125,0.01627333033259782,136.0,0.1376518218623482,0.1827896164137398,0.2376283790051013,0.005893309784526195,0.0038670051079497656
EMT,FGF7,FGFR1,TIL,21.0,0.021255060728744942,0.03034215091442927,0.042648239834658416,12.0,0.1153846153846154,0.1942191410327346,0.0957146922385123,0.005893026487686055,0.004082063150288592
TIL,JAG1,NOTCH1,CAF,2.0,0.019230769230769232,0.03617164384323115,0.01680654098083488,36.0,0.1037463976945245,0.1627197288025798,0.1274538948990442,0.00588584007651408,0.0021420591077878077
ETC,GNAS,GCGR,EMT,263.0,0.5831485587583148,0.950478264463172,0.1092884229642344,4.0,0.004048582995951417,0.006190142485527834,0.1236833941945547,0.005883595886424241,0.01351716309838663
DC,SLPI,PLSCR4,TIL,14.0,0.21875,0.3875476866315591,0.08811161229365028,1.0,0.009615384615384616,0.015174859316634618,0.01676522844369224,0.005880981623121107,0.001477211308645088
ETC,TGFB1,ITGB8,TIL,72.0,0.1596452328159645,0.2293455081807784,0.04227978979019438,2.0,0.019230769230769232,0.02563911131301779,0.02654270944433276,0.005880215013387608,0.001122220175768596
EMT,WNT5A,FZD1,CAF,12.0,0.01214574898785425,0.018033890277103542,0.053546756785864284,71.0,0.2046109510086455,0.3260511602067286,0.4398485661928792,0.0058799708478904505,0.02355246419654123
DC,ANXA1,FPR3,EMT,46.0,0.71875,1.403544907957137,0.1599484262332579,3.0,0.003036437246963563,0.0041867813336567035,0.002388428798373656,0.005876335621583858,0.00038202542747005764
ETC,CD99,PILRA,EMT,153.0,0.3392461197339246,0.4644318106447704,0.0570678144452097,8.0,0.008097165991902834,0.01264140804559563,0.00988494054746674,0.005871072027715348,0.0005641119529647615
EMT,FGF18,FGFR2,CAF,93.0,0.09412955465587043,0.1427325873725512,0.3289055645187694,10.0,0.02881844380403458,0.041114640771040316,0.3126391078279767,0.005868399056143565,0.1028287422508051
EMT,WNT5A,FZD6,EMT,12.0,0.01214574898785425,0.018033890277103542,0.053546756785864284,237.0,0.2398785425101214,0.3253043497961476,0.3213774992763653,0.005866502950888235,0.01720872279020081
ETC,PSAP,GPR37L1,EMT,316.0,0.7006651884700665,1.1843401243176621,0.1166492729112126,3.0,0.003036437246963563,0.0049515135705484005,0.2852935346788745,0.005864276197703884,0.03327928338656051
EMT,PTN,SDC3,Endo,11.0,0.0111336032388664,0.01652800018797124,0.02331735155029566,14.0,0.2545454545454545,0.3547745687032289,0.2502393338103932,0.005863714138214382,0.005834918518168725
CAF,PTN,PTPRS,TIL,102.0,0.2939481268011527,0.5042285591640906,0.7113549396184586,1.0,0.009615384615384616,0.01161720437216221,0.01922788309957549,0.0058577262220901255,0.0136778496212893
EMT,PDCD1LG2,RGMB,CAF,40.0,0.04048582995951417,0.04933139896876406,0.1234522202697109,28.0,0.08069164265129683,0.1187241060404924,0.1496582949344021,0.005856826242293381,0.01847564879143116
EMT,CD44,SELE,CAF,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,1.0,0.002881844380403458,0.003908059048520981,0.010969063155327221,0.00585357105503311,0.002067852414264589
CAF,SELE,CD44,EMT,1.0,0.002881844380403458,0.003908059048520981,0.010969063155327221,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,0.00585357105503311,0.002067852414264589
CAF,SEMA6D,TREM2,TIL,7.0,0.02017291066282421,0.03134637865918196,0.2897402758559652,10.0,0.09615384615384616,0.1866174255750398,0.08736569409890994,0.005849780486476906,0.02531336030856604
EMT,APOD,LEPR,TAM,114.0,0.1153846153846154,0.1621109324395528,0.08182405437732386,13.0,0.02192242833052277,0.03606966650519753,0.046890936974691384,0.005847287269941277,0.003836806576820815
EMT,TNF,TNFRSF21,Endo,15.0,0.01518218623481781,0.02106127346254808,0.028417353800158883,11.0,0.2,0.2775932400995643,0.1253051228843768,0.005846467141091691,0.003560840009977722
TAM,IL15,IL2RB,DC,91.0,0.1534569983136594,0.2575296799065885,0.2714352302817439,1.0,0.015625,0.022697537397134218,0.02316379655244988,0.005845289540551798,0.006287470451413698
