cell,cluster
cell_4054,ETC
cell_4055,CAF
cell_4056,ETC
cell_4057,ETC
cell_4058,TAM
cell_4059,ETC
cell_4060,ETC
cell_4061,TAM
cell_4062,ETC
cell_4063,ETC
cell_4064,Endo
cell_4065,CAF
cell_4066,ETC
cell_4067,ETC
cell_4068,ETC
cell_4069,ETC
cell_4070,ETC
cell_4071,ETC
cell_4072,ETC
cell_4073,ETC
cell_4074,ETC
cell_4075,ETC
cell_4076,ETC
cell_4077,ETC
cell_4078,ETC
cell_4079,CAF
cell_4080,TAM
cell_4081,CAF
cell_4082,ETC
cell_4083,ETC
cell_4084,DC
cell_4085,ETC
cell_4086,ETC
cell_4087,ETC
cell_4088,ETC
cell_4089,CAF
cell_4090,ETC
cell_4091,ETC
cell_4092,ETC
cell_4093,ETC
cell_4094,ETC
cell_4095,ETC
cell_4096,ETC
cell_4097,ETC
cell_4098,ETC
cell_4099,ETC
cell_4100,ETC
cell_4101,ETC
cell_4102,TAM
cell_4103,ETC
cell_4104,ETC
cell_4105,ETC
cell_4106,ETC
cell_4107,ETC
cell_4108,CAF
cell_4109,CAF
cell_4110,ETC
cell_4111,ETC
cell_4112,ETC
cell_4113,ETC
cell_4114,ETC
cell_4115,ETC
cell_4116,ETC
cell_4117,ETC
cell_4118,ETC
cell_4119,ETC
cell_4120,ETC
cell_4121,ETC
cell_4122,ETC
cell_4123,ETC
cell_4124,CAF
cell_4125,CAF
cell_4126,DC
cell_4127,ETC
cell_4128,ETC
cell_4129,ETC
cell_4130,ETC
cell_4131,ETC
cell_4132,ETC
cell_4133,CAF
cell_4134,ETC
cell_4135,ETC
cell_4136,ETC
cell_4137,TAM
cell_4138,ETC
cell_4139,ETC
cell_4140,ETC
cell_4141,ETC
cell_4142,ETC
cell_4143,ETC
cell_4144,ETC
cell_4145,ETC
cell_4146,ETC
cell_4147,ETC
cell_4148,ETC
cell_4149,ETC
cell_4150,ETC
cell_4151,ETC
cell_4152,ETC
cell_4153,ETC
cell_4154,ETC
cell_4155,ETC
cell_4156,TAM
cell_4157,ETC
cell_4158,ETC
cell_4159,ETC
cell_4160,ETC
cell_4161,ETC
cell_4162,CAF
cell_4163,ETC
cell_4164,CAF
cell_4165,ETC
cell_4166,ETC
cell_4167,ETC
cell_4168,ETC
cell_4169,CAF
cell_4170,ETC
cell_4171,ETC
cell_4172,TAM
cell_4173,ETC
cell_4174,ETC
cell_4175,ETC
cell_4176,CAF
cell_4177,CAF
cell_4178,ETC
cell_4179,CAF
cell_4180,ETC
cell_4181,TAM
cell_4182,ETC
cell_4183,ETC
cell_4184,ETC
cell_4185,ETC
cell_4186,ETC
cell_4187,ETC
cell_4188,ETC
cell_4189,TAM
cell_4190,CAF
cell_4191,ETC
cell_4192,ETC
cell_4193,ETC
cell_4194,DC
cell_4195,ETC
cell_4196,CAF
cell_4197,ETC
cell_4198,TAM
cell_4199,ETC
cell_4200,ETC
cell_4201,ETC
cell_4202,CAF
cell_4203,TAM
cell_4204,ETC
cell_4205,ETC
cell_4206,ETC
cell_4207,ETC
cell_4208,DC
cell_4209,ETC
cell_4210,TAM
cell_4211,ETC
cell_4212,ETC
cell_4213,DC
cell_4214,ETC
cell_4215,CAF
cell_4216,ETC
cell_4217,ETC
cell_4218,DC
cell_4219,TAM
cell_4220,CAF
cell_4221,ETC
cell_4222,CAF
cell_4223,ETC
cell_4224,ETC
cell_4225,TIL
cell_4226,ETC
cell_4227,ETC
cell_4228,CAF
cell_4229,CAF
cell_4230,ETC
cell_4231,CAF
cell_4232,ETC
cell_4233,TAM
cell_4234,ETC
cell_4235,ETC
cell_4236,CAF
cell_4237,ETC
cell_4238,ETC
cell_4239,ETC
cell_4240,ETC
cell_4241,CAF
cell_4242,DC
cell_4243,ETC
cell_4244,CAF
cell_4245,ETC
cell_4246,ETC
cell_4247,DC
cell_4248,ETC
cell_4249,ETC
cell_4250,ETC
cell_4251,TAM
cell_4252,CAF
cell_4253,CAF
cell_4254,ETC
cell_4255,CAF
cell_4256,ETC
cell_4257,TAM
cell_4258,CAF
cell_4259,ETC
cell_4260,ETC
cell_4261,ETC
cell_4262,ETC
cell_4263,ETC
cell_4264,ETC
cell_4265,ETC
cell_4266,CAF
cell_4267,ETC
cell_4268,TAM
cell_4269,ETC
cell_4270,ETC
cell_4271,DC
cell_4272,ETC
cell_4273,ETC
cell_4274,ETC
cell_4275,TAM
cell_4276,ETC
cell_4277,ETC
cell_4278,ETC
cell_4279,TAM
cell_4280,DC
cell_4281,TAM
cell_4282,ETC
cell_4283,ETC
cell_4284,ETC
cell_4285,ETC
cell_4286,ETC
cell_4287,ETC
cell_4288,CAF
cell_4289,ETC
cell_4290,ETC
cell_4291,CAF
cell_4292,ETC
cell_4293,ETC
cell_4294,ETC
cell_4295,TAM
cell_4296,ETC
cell_4297,ETC
cell_4298,ETC
cell_4299,ETC
cell_4300,DC
cell_4301,ETC
cell_4302,ETC
cell_4303,DC
cell_4304,ETC
cell_4305,ETC
cell_4306,ETC
cell_4307,ETC
cell_4308,ETC
cell_4309,ETC
cell_4310,ETC
cell_4311,ETC
cell_4312,ETC
cell_4313,ETC
cell_4314,ETC
cell_4315,ETC
cell_4316,ETC
cell_4317,TAM
cell_4318,CAF
cell_4319,ETC
cell_4320,CAF
cell_4321,ETC
cell_4322,ETC
cell_4323,CAF
cell_4324,ETC
cell_4325,ETC
cell_4326,ETC
cell_4327,ETC
cell_4328,ETC
cell_4329,ETC
cell_4330,ETC
cell_4331,ETC
cell_4332,Endo
cell_4333,ETC
cell_4334,ETC
cell_4335,DC
cell_4336,ETC
cell_4337,ETC
cell_4338,ETC
cell_4339,ETC
cell_4340,ETC
cell_4341,CAF
cell_4342,ETC
cell_4343,ETC
cell_4344,ETC
cell_4345,ETC
cell_4346,CAF
cell_4347,ETC
cell_4348,ETC
cell_4349,ETC
cell_4350,ETC
cell_4351,ETC
cell_4352,ETC
cell_4353,ETC
cell_4354,ETC
cell_4355,CAF
cell_4356,ETC
cell_4357,ETC
cell_4358,ETC
cell_4359,ETC
cell_4360,CAF
cell_4361,ETC
cell_4362,ETC
cell_4363,ETC
cell_4364,ETC
cell_4365,CAF
cell_4366,Endo
cell_4367,CAF
cell_4368,ETC
cell_4369,ETC
cell_4370,TAM
cell_4371,ETC
cell_4372,DC
cell_4373,ETC
cell_4374,ETC
cell_4375,CAF
cell_4376,ETC
cell_4377,ETC
cell_4378,CAF
cell_4379,DC
cell_4380,ETC
cell_4381,ETC
cell_4382,TAM
cell_4383,ETC
cell_4384,ETC
cell_4385,CAF
cell_4386,ETC
cell_4387,ETC
cell_4388,ETC
cell_4389,ETC
cell_4390,CAF
cell_4391,ETC
cell_4392,ETC
cell_4393,ETC
cell_4394,CAF
cell_4395,CAF
cell_4396,ETC
cell_4397,ETC
cell_4398,ETC
cell_4399,ETC
cell_4400,ETC
cell_4401,ETC
cell_4402,ETC
cell_4403,ETC
cell_4404,ETC
cell_4405,ETC
cell_4406,ETC
cell_4407,ETC
cell_4408,ETC
cell_4409,ETC
cell_4410,ETC
cell_4411,CAF
cell_4412,ETC
cell_4413,ETC
cell_4414,DC
cell_4415,TAM
cell_4416,ETC
cell_4417,CAF
cell_4418,ETC
cell_4419,ETC
cell_4420,ETC
cell_4421,ETC
cell_4422,ETC
cell_4423,ETC
cell_4424,ETC
cell_4425,CAF
cell_4426,Endo
cell_4427,ETC
cell_4428,ETC
cell_4429,ETC
cell_4430,ETC
cell_4431,ETC
cell_4432,ETC
cell_4433,ETC
cell_4434,ETC
cell_4435,CAF
cell_4436,CAF
cell_4437,ETC
cell_4438,TAM
cell_4439,ETC
cell_4440,ETC
cell_4441,ETC
cell_4442,DC
cell_4443,ETC
cell_4444,ETC
cell_4445,ETC
cell_4446,CAF
cell_4447,TAM
cell_4448,ETC
cell_4449,CAF
cell_4450,ETC
cell_4451,ETC
cell_4452,ETC
cell_4453,ETC
cell_4454,ETC
cell_4455,ETC
cell_4456,ETC
cell_4457,ETC
cell_4458,ETC
cell_4459,ETC
cell_4460,ETC
cell_4461,ETC
cell_4462,ETC
cell_4463,ETC
cell_4464,CAF
cell_4465,ETC
cell_4466,ETC
cell_4467,ETC
cell_4468,ETC
cell_4469,TAM
cell_4470,TAM
cell_4471,ETC
cell_4472,CAF
cell_4473,ETC
cell_4474,ETC
cell_4475,ETC
cell_4476,ETC
cell_4477,CAF
cell_4478,ETC
cell_4479,ETC
cell_4480,ETC
cell_4481,ETC
cell_4482,ETC
cell_4483,ETC
cell_4484,ETC
cell_4485,CAF
cell_4486,ETC
cell_4487,ETC
cell_4488,TAM
cell_4489,CAF
cell_4490,DC
cell_4491,ETC
cell_4492,CAF
cell_4493,ETC
cell_4494,ETC
cell_4495,ETC
cell_4496,DC
cell_4497,TAM
cell_4498,ETC
cell_4499,ETC
cell_4500,ETC
cell_4501,CAF
cell_4502,TAM
cell_4503,CAF
cell_4504,ETC
cell_4505,ETC
cell_4506,CAF
cell_4507,ETC
cell_4508,ETC
cell_4509,ETC
cell_4510,ETC
cell_4511,ETC
cell_4512,ETC
cell_4513,ETC
cell_4514,ETC
cell_4515,ETC
cell_4516,CAF
cell_4517,ETC
cell_4518,ETC
cell_4519,CAF
cell_4520,ETC
cell_4521,ETC
cell_4522,ETC
cell_4523,CAF
cell_4524,ETC
cell_4525,ETC
cell_4526,DC
cell_4527,ETC
cell_4528,ETC
cell_4529,ETC
cell_4530,ETC
cell_4531,ETC
cell_4532,ETC
cell_4533,ETC
cell_4534,ETC
cell_4535,CAF
cell_4536,ETC
cell_4537,ETC
cell_4538,ETC
cell_4539,CAF
cell_4540,ETC
cell_4541,CAF
cell_4542,ETC
cell_4543,ETC
cell_4544,ETC
cell_4545,ETC
cell_4546,ETC
cell_4547,ETC
cell_4548,ETC
cell_4549,ETC
cell_4550,ETC
cell_4551,ETC
cell_4552,ETC
cell_4553,ETC
cell_4554,ETC
cell_4555,ETC
cell_4556,ETC
cell_4557,ETC
cell_4558,Endo
cell_4559,ETC
cell_4560,ETC
cell_4561,ETC
cell_4562,ETC
cell_4563,ETC
cell_4564,ETC
cell_4565,ETC
cell_4566,ETC
cell_4567,TAM
cell_4568,ETC
cell_4569,TAM
cell_4570,ETC
cell_4571,ETC
cell_4572,ETC
cell_4573,ETC
cell_4574,ETC
cell_4575,ETC
cell_4576,ETC
cell_4577,ETC
cell_4578,ETC
cell_4579,ETC
cell_4580,ETC
cell_4581,DC
cell_4582,ETC
cell_4583,ETC
cell_4584,ETC
cell_4585,ETC
cell_4586,ETC
cell_4587,ETC
cell_4588,ETC
cell_4589,ETC
cell_4590,TAM
cell_4591,CAF
cell_4592,ETC
cell_4593,ETC
cell_4594,CAF
cell_4595,TAM
cell_4596,ETC
cell_4597,ETC
cell_4598,ETC
cell_4599,ETC
cell_4600,ETC
cell_4601,CAF
cell_4602,ETC
cell_4603,ETC
cell_4604,ETC
cell_4605,ETC
cell_4606,ETC
cell_4607,ETC
cell_4608,ETC
cell_4609,ETC
cell_4610,CAF
cell_4611,CAF
cell_4612,ETC
cell_4613,ETC
cell_4614,Endo
cell_4615,TAM
cell_4616,ETC
cell_4617,ETC
cell_4618,Endo
cell_4619,ETC
cell_4620,ETC
cell_4621,ETC
cell_4622,ETC
cell_4623,CAF
cell_4624,ETC
cell_4625,ETC
cell_4626,CAF
cell_4627,ETC
cell_4628,ETC
cell_4629,CAF
cell_4630,ETC
cell_4631,ETC
cell_4632,ETC
cell_4633,ETC
cell_4634,ETC
cell_4635,ETC
cell_4636,ETC
cell_4637,ETC
cell_4638,TIL
cell_4639,ETC
cell_4640,CAF
cell_4641,ETC
cell_4642,ETC
cell_4643,ETC
cell_4644,ETC
cell_4645,ETC
cell_4646,ETC
cell_4647,ETC
cell_4648,ETC
cell_4649,ETC
cell_4650,ETC
cell_4651,ETC
cell_4652,ETC
cell_4653,ETC
cell_4654,ETC
cell_4655,ETC
cell_4656,ETC
cell_4657,ETC
cell_4658,ETC
cell_4659,ETC
cell_4660,ETC
cell_4661,ETC
cell_4662,CAF
cell_4663,ETC
cell_4664,ETC
cell_4665,DC
cell_4666,TAM
cell_4667,ETC
cell_4668,TAM
cell_4669,ETC
cell_4670,CAF
cell_4671,ETC
cell_4672,ETC
cell_4673,CAF
cell_4674,DC
cell_4675,TAM
cell_4676,ETC
cell_4677,ETC
cell_4678,ETC
cell_4679,ETC
cell_4680,ETC
cell_4681,ETC
cell_4682,ETC
cell_4683,ETC
cell_4684,ETC
cell_4685,TAM
cell_4686,ETC
cell_4687,ETC
cell_4688,ETC
cell_4689,DC
cell_4690,Endo
cell_4691,ETC
cell_4692,ETC
cell_4693,CAF
cell_4694,ETC
cell_4695,CAF
cell_4696,ETC
cell_4697,ETC
cell_4698,ETC
cell_4699,ETC
cell_4700,ETC
cell_4701,ETC
cell_4702,ETC
cell_4703,ETC
cell_4704,ETC
cell_4705,ETC
cell_4706,CAF
cell_4707,CAF
cell_4708,CAF
cell_4709,ETC
cell_4710,ETC
cell_4711,ETC
cell_4712,ETC
cell_4713,CAF
cell_4714,ETC
cell_4715,ETC
cell_4716,ETC
cell_4717,CAF
cell_4718,TAM
cell_4719,ETC
cell_4720,ETC
cell_4721,ETC
cell_4722,ETC
cell_4723,ETC
cell_4724,ETC
cell_4725,ETC
cell_4726,TAM
cell_4727,CAF
cell_4728,ETC
cell_4729,ETC
cell_4730,ETC
cell_4731,ETC
cell_4732,ETC
cell_4733,ETC
cell_4734,ETC
cell_4735,ETC
cell_4736,CAF
cell_4737,TAM
cell_4738,ETC
cell_4739,ETC
cell_4740,TAM
cell_4741,ETC
cell_4742,ETC
cell_4743,DC
cell_4744,CAF
cell_4745,ETC
cell_4746,ETC
cell_4747,ETC
cell_4748,TAM
cell_4749,TAM
cell_4750,CAF
cell_4751,ETC
cell_4752,ETC
cell_4753,CAF
cell_4754,ETC
cell_4755,CAF
cell_4756,ETC
cell_4757,Endo
cell_4758,ETC
cell_4759,ETC
cell_4760,ETC
cell_4761,CAF
cell_4762,ETC
cell_4763,Endo
cell_4764,ETC
cell_4765,DC
cell_4766,ETC
cell_4767,ETC
cell_4768,ETC
cell_4769,ETC
cell_4770,ETC
cell_4771,ETC
cell_4772,ETC
cell_4773,ETC
cell_4774,ETC
cell_4775,CAF
cell_4776,CAF
cell_4777,CAF
cell_4778,ETC
cell_4779,DC
cell_4780,ETC
cell_4781,ETC
cell_4782,CAF
cell_4783,ETC
cell_4784,CAF
cell_4785,ETC
cell_4786,ETC
cell_4787,ETC
cell_4788,ETC
cell_4789,ETC
cell_4790,CAF
cell_4791,ETC
cell_4792,TAM
cell_4793,TAM
cell_4794,DC
cell_4795,CAF
cell_4796,CAF
cell_4797,Endo
cell_4798,ETC
cell_4799,CAF
cell_4800,ETC
cell_4801,CAF
cell_4802,ETC
cell_4803,TAM
cell_4804,ETC
cell_4805,ETC
cell_4806,ETC
cell_4807,ETC
cell_4808,ETC
cell_4809,ETC
cell_4810,ETC
cell_4811,TAM
cell_4812,ETC
cell_4813,ETC
cell_4814,ETC
cell_4815,ETC
cell_4816,CAF
cell_4817,ETC
cell_4818,ETC
cell_4819,ETC
cell_4820,ETC
cell_4821,ETC
cell_4822,CAF
cell_4823,ETC
cell_4824,ETC
cell_4825,ETC
cell_4826,ETC
cell_4827,ETC
cell_4828,ETC
cell_4829,ETC
cell_4830,TAM
cell_4831,ETC
cell_4832,ETC
cell_4833,ETC
cell_4834,ETC
cell_4835,ETC
cell_4836,ETC
cell_4837,ETC
cell_4838,ETC
cell_4839,ETC
cell_4840,ETC
cell_4841,ETC
cell_4842,ETC
cell_4843,ETC
cell_4844,CAF
cell_4845,TIL
cell_4846,ETC
cell_4847,ETC
cell_4848,ETC
cell_4849,CAF
cell_4850,ETC
cell_4851,CAF
cell_4852,CAF
cell_4853,ETC
cell_4854,TAM
cell_4855,ETC
cell_4856,ETC
cell_4857,ETC
cell_4858,ETC
cell_4859,ETC
cell_4860,CAF
cell_4861,ETC
cell_4862,CAF
cell_4863,CAF
cell_4864,ETC
cell_4865,ETC
cell_4866,TAM
cell_4867,ETC
cell_4868,ETC
cell_4869,DC
cell_4870,ETC
cell_4871,CAF
cell_4872,ETC
cell_4873,ETC
cell_4874,ETC
cell_4875,ETC
cell_4876,DC
cell_4877,ETC
cell_4878,ETC
cell_4879,ETC
cell_4880,ETC
cell_4881,ETC
cell_4882,ETC
cell_4883,ETC
cell_4884,Endo
cell_4885,CAF
cell_4886,ETC
cell_4887,ETC
cell_4888,ETC
cell_4889,ETC
cell_4890,ETC
cell_4891,ETC
cell_4892,TAM
cell_4893,ETC
cell_4894,ETC
cell_4895,ETC
cell_4896,ETC
cell_4897,ETC
cell_4898,TAM
cell_4899,ETC
cell_4900,ETC
cell_4901,ETC
cell_4902,ETC
cell_4903,ETC
cell_4904,ETC
cell_4905,ETC
cell_4906,CAF
cell_4907,ETC
cell_4908,ETC
cell_4909,ETC
cell_4910,ETC
cell_4911,ETC
cell_4912,ETC
cell_4913,ETC
cell_4914,ETC
cell_4915,ETC
cell_4916,ETC
cell_4917,DC
cell_4918,ETC
cell_4919,ETC
cell_4920,ETC
cell_4921,ETC
cell_4922,ETC
cell_4923,TAM
cell_4924,ETC
cell_4925,ETC
cell_4926,TAM
cell_4927,ETC
cell_4928,ETC
cell_4929,ETC
cell_4930,TIL
cell_4931,ETC
cell_4932,ETC
cell_4933,CAF
cell_4934,ETC
cell_4935,CAF
cell_4936,ETC
cell_4937,CAF
cell_4938,ETC
cell_4939,ETC
cell_4940,ETC
cell_4941,DC
cell_4942,ETC
cell_4943,DC
cell_4944,ETC
cell_4945,ETC
cell_4946,ETC
cell_4947,DC
cell_4948,ETC
cell_4949,TAM
cell_4950,ETC
cell_4951,ETC
cell_4952,DC
cell_4953,ETC
cell_4954,ETC
cell_4955,ETC
cell_4956,ETC
cell_4957,ETC
cell_4958,ETC
cell_4959,ETC
cell_4960,ETC
cell_4961,TAM
cell_4962,CAF
cell_4963,ETC
cell_4964,ETC
cell_4965,ETC
cell_4966,DC
cell_4967,ETC
cell_4968,ETC
cell_4969,ETC
cell_4970,ETC
cell_4971,CAF
cell_4972,ETC
cell_4973,ETC
cell_4974,ETC
cell_4975,ETC
cell_4976,CAF
cell_4977,CAF
cell_4978,ETC
cell_4979,CAF
cell_4980,ETC
cell_4981,ETC
cell_4982,ETC
