From,To,NATMI_LR_ALL,HRL,HRH,Patient,NormHRL,NormHRH,N_cell_sending,Composition.x,N_cell_receiving,Composition.y
TIL,DC,175,5,12,P02,0.02857142857142857,0.06857142857142857,43,0.3006993006993007,9,0.06293706293706294
TIL,EMT,8,0,0,P02,0,0,43,0.3006993006993007,1,0.006993006993006993
TIL,ETC,235,8,13,P02,0.03404255319148936,0.05531914893617021,43,0.3006993006993007,74,0.5174825174825175
TIL,TAM,179,5,10,P02,0.027932960893854747,0.055865921787709494,43,0.3006993006993007,12,0.08391608391608392
TIL,TIL,164,2,7,P02,0.012195121951219513,0.042682926829268296,43,0.3006993006993007,43,0.3006993006993007
CAF,CAF,827,32,45,P03,0.03869407496977025,0.05441354292623942,89,0.10722891566265061,89,0.10722891566265061
CAF,DC,111,2,3,P03,0.018018018018018018,0.02702702702702703,89,0.10722891566265061,1,0.0012048192771084338
CAF,EMT,1022,38,56,P03,0.03718199608610567,0.0547945205479452,89,0.10722891566265061,681,0.8204819277108434
CAF,Endo,809,31,40,P03,0.038318912237330034,0.049443757725587144,89,0.10722891566265061,31,0.03734939759036145
CAF,ETC,503,26,16,P03,0.05168986083499006,0.03180914512922465,89,0.10722891566265061,14,0.016867469879518072
CAF,TAM,600,33,27,P03,0.055,0.045,89,0.10722891566265061,13,0.01566265060240964
CAF,TIL,198,17,7,P03,0.08585858585858586,0.03535353535353535,89,0.10722891566265061,1,0.0012048192771084338
DC,CAF,122,7,5,P03,0.05737704918032787,0.040983606557377046,1,0.0012048192771084338,89,0.10722891566265061
DC,DC,25,2,0,P03,0.08,0,1,0.0012048192771084338,1,0.0012048192771084338
DC,EMT,173,10,11,P03,0.057803468208092484,0.06358381502890173,1,0.0012048192771084338,681,0.8204819277108434
DC,Endo,120,7,4,P03,0.058333333333333334,0.03333333333333333,1,0.0012048192771084338,31,0.03734939759036145
DC,ETC,82,6,1,P03,0.07317073170731707,0.012195121951219513,1,0.0012048192771084338,14,0.016867469879518072
DC,TAM,114,10,7,P03,0.08771929824561403,0.06140350877192982,1,0.0012048192771084338,13,0.01566265060240964
DC,TIL,27,2,0,P03,0.07407407407407407,0,1,0.0012048192771084338,1,0.0012048192771084338
EMT,CAF,1016,38,61,P03,0.03740157480314961,0.060039370078740155,681,0.8204819277108434,89,0.10722891566265061
EMT,DC,137,2,4,P03,0.014598540145985401,0.029197080291970802,681,0.8204819277108434,1,0.0012048192771084338
EMT,EMT,1276,49,74,P03,0.0384012539184953,0.05799373040752351,681,0.8204819277108434,681,0.8204819277108434
EMT,Endo,992,38,53,P03,0.038306451612903226,0.05342741935483871,681,0.8204819277108434,31,0.03734939759036145
EMT,ETC,614,28,24,P03,0.04560260586319218,0.03908794788273615,681,0.8204819277108434,14,0.016867469879518072
EMT,TAM,725,34,31,P03,0.04689655172413793,0.04275862068965517,681,0.8204819277108434,13,0.01566265060240964
EMT,TIL,211,18,7,P03,0.08530805687203792,0.03317535545023697,681,0.8204819277108434,1,0.0012048192771084338
Endo,CAF,730,31,39,P03,0.04246575342465753,0.05342465753424658,31,0.03734939759036145,89,0.10722891566265061
Endo,DC,103,2,2,P03,0.019417475728155338,0.019417475728155338,31,0.03734939759036145,1,0.0012048192771084338
Endo,EMT,893,37,43,P03,0.04143337066069429,0.048152295632698766,31,0.03734939759036145,681,0.8204819277108434
Endo,Endo,717,30,34,P03,0.04184100418410042,0.04741980474198047,31,0.03734939759036145,31,0.03734939759036145
Endo,ETC,434,23,13,P03,0.052995391705069124,0.029953917050691243,31,0.03734939759036145,14,0.016867469879518072
Endo,TAM,545,30,23,P03,0.05504587155963303,0.04220183486238532,31,0.03734939759036145,13,0.01566265060240964
Endo,TIL,178,15,5,P03,0.08426966292134831,0.028089887640449437,31,0.03734939759036145,1,0.0012048192771084338
ETC,CAF,515,28,23,P03,0.05436893203883495,0.04466019417475728,14,0.016867469879518072,89,0.10722891566265061
