cell,cluster
cell_2108,ETC
cell_2109,CAF
cell_2110,ETC
cell_2111,CAF
cell_2112,ETC
cell_2113,CAF
cell_2114,ETC
cell_2115,CAF
cell_2116,ETC
cell_2117,ETC
cell_2118,CAF
cell_2119,CAF
cell_2120,DC
cell_2121,DC
cell_2122,ETC
cell_2123,ETC
cell_2124,ETC
cell_2125,ETC
cell_2126,CAF
cell_2127,ETC
cell_2128,ETC
cell_2129,ETC
cell_2130,ETC
cell_2131,ETC
cell_2132,ETC
cell_2133,ETC
cell_2134,TAM
cell_2135,CAF
cell_2136,DC
cell_2137,CAF
cell_2138,CAF
cell_2139,CAF
cell_2140,CAF
cell_2141,ETC
cell_2142,CAF
cell_2143,DC
cell_2144,ETC
cell_2145,ETC
cell_2146,ETC
cell_2147,ETC
cell_2148,ETC
cell_2149,ETC
cell_2150,CAF
cell_2151,ETC
cell_2152,CAF
cell_2153,CAF
cell_2154,ETC
cell_2155,CAF
cell_2156,CAF
cell_2157,ETC
cell_2158,ETC
cell_2159,CAF
cell_2160,ETC
cell_2161,TIL
cell_2162,CAF
cell_2163,ETC
cell_2164,TAM
cell_2165,ETC
cell_2166,CAF
cell_2167,CAF
cell_2168,CAF
cell_2169,ETC
cell_2170,ETC
cell_2171,CAF
cell_2172,CAF
cell_2173,ETC
cell_2174,ETC
cell_2175,CAF
cell_2176,CAF
cell_2177,CAF
cell_2178,ETC
cell_2179,CAF
cell_2180,ETC
cell_2181,ETC
cell_2182,CAF
cell_2183,ETC
cell_2184,CAF
cell_2185,ETC
cell_2186,DC
cell_2187,ETC
cell_2188,CAF
cell_2189,ETC
cell_2190,CAF
cell_2191,CAF
cell_2192,CAF
cell_2193,ETC
cell_2194,TAM
cell_2195,ETC
cell_2196,CAF
cell_2197,ETC
cell_2198,ETC
cell_2199,CAF
cell_2200,ETC
cell_2201,ETC
cell_2202,CAF
cell_2203,ETC
cell_2204,CAF
cell_2205,Endo
cell_2206,CAF
cell_2207,CAF
cell_2208,Endo
cell_2209,ETC
cell_2210,ETC
cell_2211,CAF
cell_2212,DC
cell_2213,ETC
cell_2214,CAF
cell_2215,ETC
cell_2216,CAF
cell_2217,CAF
cell_2218,CAF
cell_2219,CAF
cell_2220,ETC
cell_2221,TAM
cell_2222,CAF
cell_2223,ETC
cell_2224,ETC
cell_2225,ETC
cell_2226,ETC
cell_2227,CAF
cell_2228,ETC
cell_2229,CAF
cell_2230,ETC
cell_2231,ETC
cell_2232,CAF
cell_2233,ETC
cell_2234,CAF
cell_2235,ETC
cell_2236,ETC
cell_2237,ETC
cell_2238,ETC
cell_2239,CAF
cell_2240,CAF
cell_2241,ETC
cell_2242,DC
cell_2243,ETC
cell_2244,ETC
cell_2245,ETC
cell_2246,ETC
cell_2247,ETC
cell_2248,CAF
cell_2249,ETC
cell_2250,ETC
cell_2251,ETC
cell_2252,ETC
cell_2253,ETC
cell_2254,DC
cell_2255,TAM
cell_2256,ETC
cell_2257,CAF
cell_2258,CAF
cell_2259,CAF
cell_2260,TAM
cell_2261,ETC
cell_2262,ETC
cell_2263,ETC
cell_2264,ETC
cell_2265,TAM
cell_2266,CAF
cell_2267,CAF
cell_2268,ETC
cell_2269,Endo
cell_2270,CAF
cell_2271,CAF
cell_2272,TAM
cell_2273,CAF
cell_2274,DC
cell_2275,TAM
cell_2276,ETC
cell_2277,ETC
cell_2278,ETC
cell_2279,ETC
cell_2280,ETC
cell_2281,CAF
cell_2282,ETC
cell_2283,ETC
cell_2284,ETC
cell_2285,TAM
cell_2286,Endo
cell_2287,CAF
cell_2288,ETC
cell_2289,CAF
cell_2290,ETC
cell_2291,CAF
cell_2292,TAM
cell_2293,ETC
cell_2294,ETC
cell_2295,CAF
cell_2296,ETC
cell_2297,ETC
cell_2298,CAF
cell_2299,ETC
cell_2300,ETC
cell_2301,CAF
cell_2302,Endo
cell_2303,ETC
cell_2304,CAF
cell_2305,CAF
cell_2306,CAF
cell_2307,TIL
cell_2308,CAF
cell_2309,ETC
cell_2310,CAF
cell_2311,CAF
cell_2312,ETC
cell_2313,ETC
cell_2314,CAF
cell_2315,TAM
cell_2316,ETC
cell_2317,CAF
cell_2318,ETC
cell_2319,CAF
cell_2320,ETC
cell_2321,ETC
cell_2322,ETC
cell_2323,CAF
cell_2324,ETC
cell_2325,ETC
cell_2326,ETC
cell_2327,ETC
cell_2328,CAF
cell_2329,ETC
cell_2330,TAM
cell_2331,CAF
cell_2332,ETC
cell_2333,CAF
cell_2334,CAF
cell_2335,CAF
cell_2336,CAF
cell_2337,ETC
cell_2338,ETC
cell_2339,CAF
cell_2340,CAF
cell_2341,ETC
cell_2342,ETC
cell_2343,CAF
cell_2344,ETC
cell_2345,CAF
cell_2346,CAF
cell_2347,ETC
cell_2348,ETC
cell_2349,TAM
cell_2350,CAF
cell_2351,ETC
cell_2352,ETC
cell_2353,CAF
cell_2354,ETC
cell_2355,CAF
cell_2356,ETC
cell_2357,ETC
cell_2358,CAF
cell_2359,CAF
cell_2360,CAF
cell_2361,ETC
cell_2362,DC
cell_2363,CAF
cell_2364,ETC
cell_2365,CAF
cell_2366,ETC
cell_2367,TAM
cell_2368,ETC
cell_2369,ETC
cell_2370,ETC
cell_2371,TAM
cell_2372,CAF
cell_2373,ETC
cell_2374,CAF
cell_2375,CAF
cell_2376,CAF
cell_2377,ETC
cell_2378,ETC
cell_2379,ETC
cell_2380,ETC
cell_2381,Endo
cell_2382,ETC
cell_2383,CAF
cell_2384,ETC
cell_2385,Endo
cell_2386,DC
cell_2387,ETC
cell_2388,Endo
cell_2389,ETC
cell_2390,ETC
cell_2391,ETC
cell_2392,CAF
cell_2393,ETC
cell_2394,ETC
cell_2395,ETC
cell_2396,CAF
cell_2397,ETC
cell_2398,ETC
cell_2399,ETC
cell_2400,ETC
cell_2401,ETC
cell_2402,ETC
cell_2403,DC
cell_2404,CAF
cell_2405,CAF
cell_2406,Endo
cell_2407,CAF
cell_2408,ETC
cell_2409,ETC
cell_2410,ETC
cell_2411,ETC
cell_2412,ETC
cell_2413,ETC
cell_2414,CAF
cell_2415,ETC
cell_2416,DC
cell_2417,CAF
cell_2418,CAF
cell_2419,DC
cell_2420,ETC
cell_2421,ETC
cell_2422,ETC
cell_2423,CAF
cell_2424,CAF
cell_2425,TAM
cell_2426,CAF
cell_2427,ETC
cell_2428,CAF
cell_2429,CAF
cell_2430,CAF
cell_2431,ETC
cell_2432,ETC
cell_2433,ETC
cell_2434,CAF
cell_2435,CAF
cell_2436,ETC
cell_2437,ETC
cell_2438,ETC
cell_2439,ETC
cell_2440,ETC
cell_2441,CAF
cell_2442,ETC
cell_2443,CAF
cell_2444,ETC
cell_2445,ETC
cell_2446,CAF
cell_2447,CAF
cell_2448,ETC
cell_2449,CAF
cell_2450,CAF
cell_2451,ETC
cell_2452,ETC
cell_2453,ETC
cell_2454,CAF
cell_2455,ETC
cell_2456,ETC
cell_2457,ETC
cell_2458,ETC
cell_2459,CAF
cell_2460,ETC
cell_2461,CAF
cell_2462,DC
cell_2463,ETC
cell_2464,ETC
cell_2465,CAF
cell_2466,CAF
cell_2467,CAF
cell_2468,ETC
cell_2469,ETC
cell_2470,ETC
cell_2471,ETC
cell_2472,CAF
cell_2473,ETC
cell_2474,CAF
cell_2475,ETC
cell_2476,ETC
cell_2477,ETC
cell_2478,ETC
cell_2479,ETC
cell_2480,ETC
cell_2481,CAF
cell_2482,ETC
cell_2483,ETC
cell_2484,ETC
cell_2485,ETC
cell_2486,ETC
cell_2487,ETC
cell_2488,ETC
cell_2489,ETC
cell_2490,CAF
cell_2491,DC
cell_2492,CAF
cell_2493,ETC
cell_2494,ETC
cell_2495,ETC
cell_2496,CAF
cell_2497,ETC
cell_2498,Endo
cell_2499,ETC
cell_2500,ETC
cell_2501,ETC
cell_2502,ETC
cell_2503,CAF
cell_2504,ETC
cell_2505,ETC
cell_2506,CAF
cell_2507,ETC
cell_2508,CAF
cell_2509,ETC
cell_2510,ETC
cell_2511,TAM
cell_2512,ETC
cell_2513,ETC
cell_2514,ETC
cell_2515,CAF
cell_2516,CAF
cell_2517,ETC
cell_2518,CAF
cell_2519,TAM
cell_2520,ETC
cell_2521,CAF
cell_2522,DC
cell_2523,ETC
cell_2524,CAF
cell_2525,Endo
cell_2526,ETC
cell_2527,ETC
cell_2528,ETC
cell_2529,ETC
cell_2530,ETC
cell_2531,Endo
cell_2532,ETC
cell_2533,ETC
cell_2534,ETC
cell_2535,Endo
cell_2536,ETC
cell_2537,ETC
cell_2538,ETC
cell_2539,TAM
cell_2540,CAF
cell_2541,CAF
cell_2542,CAF
cell_2543,CAF
cell_2544,ETC
cell_2545,CAF
cell_2546,ETC
cell_2547,CAF
cell_2548,ETC
cell_2549,CAF
cell_2550,ETC
cell_2551,ETC
cell_2552,ETC
cell_2553,TAM
cell_2554,ETC
cell_2555,ETC
cell_2556,ETC
cell_2557,CAF
cell_2558,CAF
cell_2559,ETC
cell_2560,Endo
cell_2561,ETC
cell_2562,CAF
cell_2563,ETC
cell_2564,ETC
cell_2565,CAF
cell_2566,CAF
cell_2567,ETC
cell_2568,CAF
cell_2569,Endo
cell_2570,CAF
cell_2571,CAF
cell_2572,ETC
cell_2573,CAF
cell_2574,CAF
cell_2575,ETC
cell_2576,ETC
cell_2577,CAF
cell_2578,ETC
cell_2579,ETC
cell_2580,CAF
cell_2581,ETC
cell_2582,CAF
cell_2583,ETC
cell_2584,ETC
cell_2585,CAF
cell_2586,ETC
cell_2587,ETC
cell_2588,ETC
cell_2589,ETC
cell_2590,ETC
cell_2591,ETC
cell_2592,CAF
cell_2593,CAF
cell_2594,CAF
cell_2595,ETC
cell_2596,ETC
cell_2597,CAF
cell_2598,DC
cell_2599,ETC
cell_2600,ETC
cell_2601,ETC
cell_2602,CAF
cell_2603,CAF
cell_2604,ETC
cell_2605,CAF
cell_2606,ETC
cell_2607,CAF
cell_2608,CAF
cell_2609,TIL
cell_2610,ETC
cell_2611,ETC
cell_2612,TAM
cell_2613,DC
cell_2614,ETC
cell_2615,ETC
cell_2616,CAF
cell_2617,ETC
cell_2618,ETC
cell_2619,ETC
cell_2620,CAF
cell_2621,ETC
cell_2622,ETC
cell_2623,Endo
cell_2624,TAM
cell_2625,CAF
cell_2626,CAF
cell_2627,ETC
cell_2628,ETC
cell_2629,CAF
cell_2630,CAF
cell_2631,CAF
cell_2632,ETC
cell_2633,CAF
cell_2634,ETC
cell_2635,ETC
cell_2636,ETC
cell_2637,ETC
cell_2638,ETC
cell_2639,ETC
cell_2640,ETC
cell_2641,CAF
cell_2642,CAF
cell_2643,CAF
cell_2644,CAF
cell_2645,CAF
cell_2646,ETC
cell_2647,ETC
cell_2648,ETC
cell_2649,CAF
cell_2650,CAF
cell_2651,ETC
cell_2652,CAF
cell_2653,CAF
cell_2654,ETC
cell_2655,CAF
cell_2656,ETC
cell_2657,ETC
cell_2658,ETC
cell_2659,CAF
cell_2660,ETC
cell_2661,CAF
cell_2662,ETC
cell_2663,Endo
cell_2664,CAF
cell_2665,CAF
cell_2666,CAF
cell_2667,CAF
cell_2668,CAF
cell_2669,ETC
cell_2670,CAF
cell_2671,TAM
cell_2672,CAF
cell_2673,CAF
cell_2674,CAF
cell_2675,ETC
cell_2676,ETC
cell_2677,ETC
cell_2678,ETC
cell_2679,ETC
cell_2680,CAF
cell_2681,ETC
cell_2682,ETC
cell_2683,CAF
cell_2684,ETC
cell_2685,CAF
cell_2686,CAF
cell_2687,ETC
cell_2688,ETC
cell_2689,CAF
cell_2690,ETC
cell_2691,ETC
cell_2692,ETC
cell_2693,DC
cell_2694,CAF
cell_2695,ETC
cell_2696,DC
cell_2697,ETC
cell_2698,CAF
cell_2699,ETC
cell_2700,CAF
cell_2701,ETC
cell_2702,ETC
cell_2703,CAF
cell_2704,ETC
cell_2705,ETC
cell_2706,ETC
cell_2707,TAM
cell_2708,ETC
cell_2709,ETC
cell_2710,ETC
cell_2711,ETC
cell_2712,CAF
cell_2713,ETC
cell_2714,ETC
cell_2715,ETC
cell_2716,ETC
cell_2717,ETC
cell_2718,ETC
cell_2719,ETC
cell_2720,TAM
cell_2721,ETC
cell_2722,ETC
cell_2723,CAF
cell_2724,ETC
cell_2725,ETC
cell_2726,ETC
cell_2727,ETC
cell_2728,CAF
cell_2729,ETC
cell_2730,ETC
cell_2731,CAF
cell_2732,CAF
cell_2733,ETC
cell_2734,ETC
cell_2735,ETC
cell_2736,CAF
cell_2737,ETC
cell_2738,Endo
cell_2739,ETC
cell_2740,ETC
cell_2741,ETC
cell_2742,ETC
cell_2743,CAF
cell_2744,ETC
cell_2745,ETC
cell_2746,DC
cell_2747,CAF
cell_2748,TAM
cell_2749,ETC
cell_2750,ETC
cell_2751,ETC
cell_2752,ETC
cell_2753,ETC
cell_2754,DC
cell_2755,CAF
cell_2756,ETC
cell_2757,ETC
cell_2758,CAF
cell_2759,DC
cell_2760,ETC
cell_2761,CAF
cell_2762,CAF
cell_2763,ETC
cell_2764,CAF
cell_2765,ETC
cell_2766,ETC
cell_2767,CAF
