LR,pval,hr,median_day_low,median_day_high,diff_day
CALR->LRP1,0.026902957880250322,1.3993800670434535,456,610.5,154.5
TGFB1->ITGB8,0.0270096580827921,0.7180893760535602,658,400,-258
SEMA3C->NRP1,0.027793037354029826,0.7457224093480576,643,437,-206
VEGFA->NRP1,0.02818990376951358,0.6754398168009478,583,379,-204
IL6->IL6R,0.02834338274122794,1.4346996755064865,437,633,196
IHH->BOC,0.029899635723177775,1.4890576874903707,459.5,579,119.5
ADM2->RAMP2,0.03022478004661444,1.3674124364001443,456,608,152
RSPO3->FZD8,0.03066919011095559,1.308846944091929,444,597.5,153.5
FGB->ITGA5,0.0307379933952745,0.6826408011695807,608.5,446,-162.5
TNFSF10->TNFRSF10C,0.03126523191126007,1.3657488344493305,455.5,587,131.5
SEMA3G->NRP2,0.03131109521596698,0.6606088585594282,626.5,456,-170.5
LTF->LRP1,0.03154265198832318,1.372470420610256,459.5,592,132.5
SLPI->PLSCR4,0.031558738178273815,0.6553446518046294,575.5,463,-112.5
VEGFC->NRP2,0.032507040172191526,0.6652083745639177,626.5,456,-170.5
POSTN->PTK7,0.03259859439042878,0.7080649720421135,591,446,-145
CXCL12->CXCR4,0.03280493262658102,1.5820369842651714,455.5,625,169.5
F2->F2RL3,0.03281418880952558,1.4575902608465698,445,625,180
ECM1->ITGB4,0.032937391276512296,0.6680893510459063,632,455,-177
DSC2->DSG3,0.03296326101525959,0.6248699776809349,599,455,-144
NTNG1->LRRC4C,0.03368212417671579,0.6433664893570636,629,456,-173
THBS1->ITGA4,0.034333878145296426,0.6895144568691789,643,446,-197
CORT->SSTR2,0.03452046669066744,1.5453284419374154,450,590,140
AGRP->SDC3,0.03498127783109739,1.3730054068920485,422.5,587,164.5
FGF7->FGFR3,0.03519173384776031,1.5434777365741685,455.5,627,171.5
ADAM15->ITGB1,0.03529643120720316,0.6194820058572085,575,451,-124
CNTN2->NRCAM,0.03531344792463831,1.460462178434232,456,608,152
PTN->SDC3,0.035522888991099344,1.3328920623379132,437,587,150
NTN1->NEO1,0.036292226009309037,1.3903136577392823,440.5,631,190.5
CD2->CD48,0.036341181657082555,1.5590454012104924,437,590,153
