LR,pval,hr,median_day_high,median_day_low,diff_day
WNT2B->FZD4,0.006309706774938251,2.1386690943670414,427,394,33
WNT2->FZD9,0.00631901679112179,2.283083898629667,465,355,110
APP->LRP1,0.0064773914136565525,2.369316952119867,429,349.5,79.5
EGF->EGFR,0.006533827701128203,0.4446968111301694,272,487.5,-215.5
WNT2B->FZD7,0.006675391034504985,2.1640468592833155,455,351,104
WNT2->FZD2,0.006677049002000168,2.2586789017544553,428,359,69
VEGFA->KDR,0.007272267257104281,0.3916783224012725,348,622,-274
WNT2->FZD7,0.007297584534010859,2.28873597519416,451,360,91
IHH->BOC,0.007457953980348764,2.247966478370617,455,400,55
POMC->MC1R,0.007616271357586579,0.43363138220524927,337,546,-209
WNT11->FZD8,0.007662284280655185,1.908169302419511,499,345.5,153.5
PDCD1LG2->RGMB,0.00825991620404165,2.0071593327435817,465,394,71
FAM3D->FPR1,0.008546399164905405,2.3649311158066015,537,369.5,167.5
SEMA3A->NRP1,0.009265057998685933,0.4956870522095338,332,538.5,-206.5
A2M->LRP1,0.009324423473794918,2.3205088471749544,413,387.5,25.5
DCN->TLR2,0.00950806429039619,2.029991055450017,423,374.5,48.5
NLGN3->NRXN3,0.009720272275497654,2.0791192521876938,413,417.5,-4.5
INHA->TGFBR3,0.010128483950584188,2.049910654004524,451,353.5,97.5
ZG16B->TLR4,0.010651651865063005,2.411326300053528,427,374.5,52.5
ASIP->MC1R,0.011365839648146192,0.4636497154224706,337,538.5,-201.5
IL24->IL20RB,0.011509410011466215,0.4442972193910244,332,519.5,-187.5
LGI3->ADAM22,0.011984268285451072,2.23854513710302,429,400,29
NTS->NTSR1,0.012033240069939444,0.45799065537462696,359,451.5,-92.5
COL2A1->ITGA2,0.012100520139345261,0.40679519985604295,348,453,-105
LAMA1->ITGA2,0.012100520139345261,0.40679519985604295,348,453,-105
FNDC5->ITGB5,0.012220113161486523,1.9672064198306811,499,345.5,153.5
IFNG->IFNGR2,0.01257225305164733,1.8609023761541827,499,353.5,145.5
SERPINE2->LRP1,0.012781264853057084,2.2304521653118576,429,349.5,79.5
POMC->MC2R,0.01335146383098551,2.0051688945176105,455,351,104
DHH->BOC,0.013363899814572644,2.0123115970608385,429,386.5,42.5
AREG->EGFR,0.013517468146834521,0.44810238527496193,332,460,-128
BDNF->SORT1,0.013795647354545304,2.2487127959385136,427,373.5,53.5
NGF->SORT1,0.013795647354545304,2.2487127959385136,427,373.5,53.5
NTS->SORT1,0.013795647354545304,2.2487127959385136,427,373.5,53.5
SLIT2->ROBO2,0.01443293871258422,1.8491293921666019,427,400,27
PTN->PTPRZ1,0.01494804260071747,2.1322922998315423,465,360,105
APOE->LRP1,0.014977890912271086,2.198143397279447,429,349.5,79.5
F8->LRP1,0.014977890912271086,2.198143397279447,429,349.5,79.5
LIPC->LRP1,0.014977890912271086,2.198143397279447,429,349.5,79.5
LPL->LRP1,0.014977890912271086,2.198143397279447,429,349.5,79.5
MDK->LRP1,0.014977890912271086,2.198143397279447,429,349.5,79.5
PDGFB->LRP1,0.014977890912271086,2.198143397279447,429,349.5,79.5
MMP13->LRP1,0.014977890912271086,2.198143397279447,429,349.5,79.5
SERPINC1->LRP1,0.014977890912271086,2.198143397279447,429,349.5,79.5
WNT3A->LRP1,0.014977890912271086,2.198143397279447,429,349.5,79.5
BMP8A->TGFBR1,0.015303384079879634,1.885464678742467,465,353.5,111.5
WNT3A->FZD8,0.01657528615431836,2.342515411518009,427,385.5,41.5
FAM3D->FPR2,0.016590746953887958,2.467642616994147,537,369.5,167.5
NTN1->NEO1,0.016675685346983493,2.3386647556930593,429,360,69
C1QB->LRP1,0.016767091999776884,2.1875484521157036,429,349.5,79.5
CLCF1->CRLF1,0.01683607347212912,0.460262932468034,361,447,-86
BMP2->RGMB,0.016946993551166023,2.561284208385904,427,406,21
