LR,pval_PAAD-US,pval_PACA-AU,pval_PACA-CA,hr_PAAD-US,hr_PACA-AU,hr_PACA-CA,median_day_low_PAAD-US,median_day_low_PACA-AU,median_day_low_PACA-CA,median_day_high_PAAD-US,median_day_high_PACA-AU,median_day_high_PACA-CA,diff_day_PAAD-US,diff_day_PACA-AU,diff_day_PACA-CA,meta_pval,meta_qval_BH,meta_qval_holm,meta_qval_storey
GDNF->GFRA2,8.825004360798472e-4,0.4777001327607715,0.16943393866456435,2.55356164260581,1.184369192196638,0.7605669874206556,195.5,374.5,600,164,427,456,-31.5,52.5,-144,0.04535311138442772,0.26676551417594535,1,0.13819163159409173
QRFP->P2RY14,0.0012625712067714234,0.3587620735992104,0.48358376434864103,2.5539092771327145,1.3368511984610953,1.1534886296622429,182,413,479.5,194,413,547,12,0,67.5,0.10006252323935304,0.38906657280584533,1,0.2015468328462427
CCL22->ACKR2,0.0015885075561111739,0.7183907728756835,0.6559586153580061,2.2494310376514286,0.851124220455506,0.9106601115454278,188.5,449.5,527,181,400,522,-7.5,-49.5,-5,0.4075899185683596,0.6888091417106248,1,0.35682145589154424
IL20->IL20RB,0.0016927963156737613,0.005292856426479031,0.01091892246435866,0.35320363700549334,0.3887214384571895,0.6737167006928976,164,546,629.5,194,332,444,30,-214,-185.5,9.566229916544688e-7,4.5043785842128006e-4,0.0017152250240364626,2.333387911074979e-4
IL26->IL20RB,0.0016927963156737613,0.005292856426479031,0.01091892246435866,0.35320363700549334,0.3887214384571895,0.6737167006928976,164,546,629.5,194,332,444,30,-214,-185.5,9.566229916544688e-7,4.5043785842128006e-4,0.0017152250240364626,2.333387911074979e-4
TNFSF13->FAS,0.0017947395215340833,0.8555134668928697,0.3018658825451518,2.7986888847591063,1.1842592722899512,1.37056559304038,162.5,421.5,456,247,392,625,84.5,-29.5,169,0.2575776074809439,0.563193773349164,1,0.2917493540466483
DHH->PTCH2,0.001956439772643037,0.14699368665000967,0.33261465125012957,2.35308182115905,1.4817913272476806,1.1249462461406394,182,406,478.5,194,423,573,12,17,94.5,0.018612850673471473,0.1785639257123413,1,0.09250086284301177
DKK4->KREMEN2,0.001986500191439755,0.340584515330715,0.2711601687121231,3.0063663450190288,1.4033334354938691,1.2152380552032467,162.5,413,491.5,247,413,547,84.5,0,55.5,0.0385286082802969,0.25134663001764596,1,0.13020423949891133
GRN->TNFRSF1B,0.002126488489775813,0.36578532748074466,0.5346854431229826,2.3288644263194334,1.3000323379434724,0.8023798034880053,158,360,574,202,429,515,44,69,-59,0.12255492844260703,0.4203891809293251,1,0.2177727769520132
IL19->IL20RB,0.0022049641700547795,0.03927941964195092,0.006476142319705058,0.37576348543105786,0.4966097979452466,0.6553849781884503,165.5,499,629.5,194,337.5,456,28.5,-161.5,-173.5,1.8386563489950193e-5,0.0032985494900970645,0.032820015829561094,0.001708736368486252
CORT->SSTR5,0.002307434173199341,0.5665242044096075,0.3080233772219835,2.8569106340478183,1.1381653745311386,1.1343509533306497,180,413,471.5,194,413,579,14,0,107.5,0.1123652756090728,0.3999668738941996,1,0.20719347872893742
