Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
EMT,A2M,LRP1,CAF,82,0.274247491638796,0.4199711607221311,125.5713770559172,0.09523777639196172,0.5798755667838336,12,0.3428571428571429,0.6350885480849188,22.22809918297216,0.1834376307918558,0.06361976049312316,0.2667188747005563,0.017470192063226,2791.213023741321,0.03689154467460154
EMT,A2M,LRP1,EMT,82,0.274247491638796,0.4199711607221311,125.5713770559172,0.09523777639196172,0.5798755667838336,192,0.6421404682274248,1.030186973453554,308.0259050626128,0.2975570229581344,0.8816108900923408,0.4326488190021082,0.02833866921634462,38679.23706760749,0.5112246145750962
EMT,A2M,LRP1,ETC,82,0.274247491638796,0.4199711607221311,125.5713770559172,0.09523777639196172,0.5798755667838336,7,0.1842105263157895,0.3322065526400997,12.62384900032379,0.09595383688398922,0.03613112589119572,0.1395171715117604,0.009138430061108134,1585.194102716622,0.02095155710469516
EMT,A2M,LRP1,Endo,82,0.274247491638796,0.4199711607221311,125.5713770559172,0.09523777639196172,0.5798755667838336,2,0.1538461538461539,0.3256973583554924,4.2340656586214,0.09407373499657083,0.01211845605403823,0.136783497632688,0.008959373337960076,531.6774552982581,0.0070271965728804
EMT,A2M,LRP1,TAM,82,0.274247491638796,0.4199711607221311,125.5713770559172,0.09523777639196172,0.5798755667838336,1,0.5,1.138970320182405,2.27794064036481,0.3289777743694498,0.006519767469302026,0.478334687395062,0.0313311117133229,286.044143062247,0.003780653856560312
ETC,A2M,LRP1,CAF,6,0.1578947368421053,0.2123403732533434,8.06893418362705,0.0481528897177485,0.03726149933824989,12,0.3428571428571429,0.6350885480849188,22.22809918297216,0.1834376307918558,0.06361976049312316,0.1348549393492756,0.008833052005605302,179.3570693345366,0.002370567663514125
ETC,A2M,LRP1,EMT,6,0.1578947368421053,0.2123403732533434,8.06893418362705,0.0481528897177485,0.03726149933824989,192,0.6421404682274248,1.030186973453554,308.0259050626128,0.2975570229581344,0.8816108900923408,0.2187502864638598,0.0143282305112446,2485.440754802376,0.03285014359776965
ETC,A2M,LRP1,ETC,6,0.1578947368421053,0.2123403732533434,8.06893418362705,0.0481528897177485,0.03726149933824989,7,0.1842105263157895,0.3322065526400997,12.62384900032379,0.09595383688398922,0.03613112589119572,0.07054086338480525,0.004620454525469561,101.8610067276588,0.001346299923485013
ETC,A2M,LRP1,Endo,6,0.1578947368421053,0.2123403732533434,8.06893418362705,0.0481528897177485,0.03726149933824989,2,0.1538461538461539,0.3256973583554924,4.2340656586214,0.09407373499657083,0.01211845605403823,0.0691586986408332,0.004529922186626573,34.16439712857159,0.000451551842238156
ETC,A2M,LRP1,TAM,6,0.1578947368421053,0.2123403732533434,8.06893418362705,0.0481528897177485,0.03726149933824989,1,0.5,1.138970320182405,2.27794064036481,0.3289777743694498,0.006519767469302026,0.241849382912012,0.01584123048880247,18.38055310131291,0.0002429363112429406
Endo,A2M,LRP1,CAF,13,1.0,2.006583102066851,26.08558032686907,0.4550372279323541,0.1204604984955497,12,0.3428571428571429,0.6350885480849188,22.22809918297216,0.1834376307918558,0.06361976049312316,1.274357948903369,0.08347095101400473,579.832866751033,0.007663668063169098
Endo,A2M,LRP1,EMT,13,1.0,2.006583102066851,26.08558032686907,0.4550372279323541,0.1204604984955497,192,0.6421404682274248,1.030186973453554,308.0259050626128,0.2975570229581344,0.8816108900923408,2.067155772901293,0.1353995228786733,8035.03448926733,0.1061992872996287
Endo,A2M,LRP1,ETC,13,1.0,2.006583102066851,26.08558032686907,0.4550372279323541,0.1204604984955497,7,0.1842105263157895,0.3322065526400997,12.62384900032379,0.09595383688398922,0.03613112589119572,0.666600054923506,0.04366256794516373,329.300427132212,0.0043523734360589
Endo,A2M,LRP1,Endo,13,1.0,2.006583102066851,26.08558032686907,0.4550372279323541,0.1204604984955497,2,0.1538461538461539,0.3256973583554924,4.2340656586214,0.09407373499657083,0.01211845605403823,0.6535388156639428,0.04280705159408248,110.4480598472063,0.001459795257265858
Endo,A2M,LRP1,TAM,13,1.0,2.006583102066851,26.08558032686907,0.4550372279323541,0.1204604984955497,1,0.5,1.138970320182405,2.27794064036481,0.3289777743694498,0.006519767469302026,2.285438598233685,0.1496971345004299,59.42140355407582,0.0007853744394271908
CAF,ACE,BDKRB2,CAF,1,0.02857142857142857,0.05383111488269256,1.88408902089424,0.4192296479875205,0.1414154066524169,1,0.02857142857142857,0.06049864490269828,2.11745257159444,0.2281235074384887,0.09485659837004154,0.003256709504004374,0.09563613772111612,3.989469142405358,0.01341418443216441
CAF,ACE,BDKRB2,EMT,1,0.02857142857142857,0.05383111488269256,1.88408902089424,0.4192296479875205,0.1414154066524169,12,0.04013377926421405,0.05785771776789291,17.29945761259998,0.2181653081788155,0.774972589606721,0.003114545452013846,0.09146136535089376,32.5937181553249,0.109593063903711
CAF,ACE,BDKRB2,ETC,1,0.02857142857142857,0.05383111488269256,1.88408902089424,0.4192296479875205,0.1414154066524169,1,0.02631578947368421,0.03987105068035395,1.51509992585345,0.1503426058730518,0.06787270094505185,0.002146303109667791,0.06302807773768605,2.854583135858162,0.009598245604742386
CAF,ACE,BDKRB2,Endo,1,0.02857142857142857,0.05383111488269256,1.88408902089424,0.4192296479875205,0.1414154066524169,1,0.07692307692307693,0.1069738610903185,1.39066019417414,0.4033685785096439,0.06229811107818569,0.005758522205798129,0.1691040671778245,2.620127603638148,0.008809912711799065
EMT,ACE,BDKRB2,CAF,6,0.02006688963210702,0.03297008140120251,9.858054338959551,0.2567666608812889,0.7399229801168944,1,0.02857142857142857,0.06049864490269828,2.11745257159444,0.2281235074384887,0.09485659837004154,0.001994645247104407,0.0585745112735086,20.87396251094763,0.07018657694971249
EMT,ACE,BDKRB2,EMT,6,0.02006688963210702,0.03297008140120251,9.858054338959551,0.2567666608812889,0.7399229801168944,12,0.04013377926421405,0.05785771776789291,17.29945761259998,0.2181653081788155,0.774972589606721,0.00190757366449523,0.0560175777012118,170.5389931795381,0.573420028010712
EMT,ACE,BDKRB2,ETC,6,0.02006688963210702,0.03297008140120251,9.858054338959551,0.2567666608812889,0.7399229801168944,1,0.02631578947368421,0.03987105068035395,1.51509992585345,0.1503426058730518,0.06787270094505185,0.00131455178648274,0.03860296889821517,14.9359373980169,0.05022057115184552
EMT,ACE,BDKRB2,Endo,6,0.02006688963210702,0.03297008140120251,9.858054338959551,0.2567666608812889,0.7399229801168944,1,0.07692307692307693,0.1069738610903185,1.39066019417414,0.4033685785096439,0.06229811107818569,0.003526936907948729,0.1035716030083533,13.70920376119671,0.04609580400462447
ETC,ACE,BDKRB2,CAF,1,0.02631578947368421,0.04160364135367343,1.58093837143959,0.3240036911311907,0.1186616132306887,1,0.02857142857142857,0.06049864490269828,2.11745257159444,0.2281235074384887,0.09485659837004154,0.002516963924915103,0.07391285844386396,3.347562020137086,0.01125583698816465
ETC,ACE,BDKRB2,EMT,1,0.02631578947368421,0.04160364135367343,1.58093837143959,0.3240036911311907,0.1186616132306887,12,0.04013377926421405,0.05785771776789291,17.29945761259998,0.2181653081788155,0.774972589606721,0.002407091739557475,0.07068636512670996,27.34937634485203,0.091959497692298
ETC,ACE,BDKRB2,ETC,1,0.02631578947368421,0.04160364135367343,1.58093837143959,0.3240036911311907,0.1186616132306887,1,0.02631578947368421,0.03987105068035395,1.51509992585345,0.1503426058730518,0.06787270094505185,0.001658780892899583,0.04871155923715062,2.395279609346997,0.008053884188463945
ETC,ACE,BDKRB2,Endo,1,0.02631578947368421,0.04160364135367343,1.58093837143959,0.3240036911311907,0.1186616132306887,1,0.07692307692307693,0.1069738610903185,1.39066019417414,0.4033685785096439,0.06229811107818569,0.004450502151019289,0.1306929083234661,2.198548062603529,0.007392394361762156
CAF,ADAM10,EPHA3,EMT,4,0.1142857142857143,0.203767045060658,7.13184657712303,0.1195606896413606,0.09342775712861419,13,0.04347826086956522,0.06222316811703871,18.60472726699458,0.6302339032612551,0.9306087268413642,0.01267903110152153,0.0753512001092822,132.6860604774228,0.08694468611310384
CAF,ADAM10,EPHA3,ETC,4,0.1142857142857143,0.203767045060658,7.13184657712303,0.1195606896413606,0.09342775712861419,1,0.02631578947368421,0.03650710931655237,1.38727015402899,0.3697660967387449,0.06939127315863586,0.007438945789140294,0.04420948953207841,9.89379789955659,0.006483071015510356
