LR,cell_type_pair,Edge_average_expression_weight,Patient
LAMA2->DAG1,EMT->CAF,0.005416312308437952,P01
LAMA2->DAG1,EMT->DC,0.003150773574561512,P01
LAMA2->DAG1,EMT->EMT,0.004905312455753955,P01
LAMA2->DAG1,EMT->ETC,0.007959267781245925,P01
LAMA2->DAG1,EMT->Endo,0.004328898675138177,P01
LAMA2->DAG1,ETC->CAF,0.007430006634790524,P01
LAMA2->DAG1,ETC->DC,0.00432217849167308,P01
LAMA2->DAG1,ETC->EMT,0.006729025583549399,P01
LAMA2->DAG1,ETC->ETC,0.01091839042047166,P01
LAMA2->DAG1,ETC->Endo,0.005938310800044782,P01
GDNF->GFRA1,NA,NA,NA
SHH->GPC5,NA,NA,NA
APELA->APLNR,NA,NA,NA
PSAP->LRP1,CAF->CAF,1.106338196949235,P01
PSAP->LRP1,CAF->EMT,1.794608330079347,P01
PSAP->LRP1,CAF->ETC,0.5787111097670516,P01
PSAP->LRP1,CAF->Endo,0.5673719503850407,P01
PSAP->LRP1,CAF->TAM,1.984111308901772,P01
PSAP->LRP1,DC->CAF,0.9243309523599824,P01
PSAP->LRP1,DC->EMT,1.499371558741831,P01
PSAP->LRP1,DC->ETC,0.4835054892864976,P01
PSAP->LRP1,DC->Endo,0.4740317713768766,P01
PSAP->LRP1,DC->TAM,1.657698794819375,P01
PSAP->LRP1,EMT->CAF,0.9060005613959603,P01
PSAP->LRP1,EMT->EMT,1.469637547561202,P01
PSAP->LRP1,EMT->ETC,0.4739171003774776,P01
PSAP->LRP1,EMT->Endo,0.4646312556021738,P01
PSAP->LRP1,EMT->TAM,1.624824998986783,P01
PSAP->LRP1,ETC->CAF,0.8987268783215115,P01
PSAP->LRP1,ETC->EMT,1.457838793552927,P01
PSAP->LRP1,ETC->ETC,0.4701123314417981,P01
PSAP->LRP1,ETC->Endo,0.4609010366114414,P01
PSAP->LRP1,ETC->TAM,1.61178034692182,P01
PSAP->LRP1,Endo->CAF,0.9532514362286817,P01
PSAP->LRP1,Endo->EMT,1.546283923698417,P01
PSAP->LRP1,Endo->ETC,0.498633417944124,P01
PSAP->LRP1,Endo->Endo,0.4888632861739888,P01
PSAP->LRP1,Endo->TAM,1.709564905255613,P01
PSAP->LRP1,TAM->CAF,1.382995817527684,P01
PSAP->LRP1,TAM->EMT,2.243378942753763,P01
PSAP->LRP1,TAM->ETC,0.7234271098762052,P01
PSAP->LRP1,TAM->Endo,0.7092524117207547,P01
PSAP->LRP1,TAM->TAM,2.480270182560135,P01
PSAP->LRP1,TIL->CAF,1.009182486227018,P01
PSAP->LRP1,TIL->EMT,1.637010546456164,P01
PSAP->LRP1,TIL->ETC,0.5278902221512186,P01
PSAP->LRP1,TIL->Endo,0.5175468379234867,P01
PSAP->LRP1,TIL->TAM,1.80987187208227,P01
NXPH1->NRXN3,NA,NA,NA
PTN->PTPRB,CAF->EMT,0.01546242142343442,P01
PTN->PTPRB,CAF->Endo,0.3163901424967777,P01
PTN->PTPRB,EMT->EMT,6.723398571972716e-4,P01
PTN->PTPRB,EMT->Endo,0.01375733446913513,P01
PTN->PTPRB,ETC->EMT,0.005582130820613236,P01
PTN->PTPRB,ETC->Endo,0.1142208660212026,P01
ARTN->GFRA1,NA,NA,NA
MDK->LRP1,CAF->CAF,0.6685656470656466,P01
MDK->LRP1,CAF->EMT,1.084490694380276,P01
MDK->LRP1,CAF->ETC,0.3497179873499756,P01
MDK->LRP1,CAF->Endo,0.342865677224266,P01
MDK->LRP1,CAF->TAM,1.199008282226966,P01
MDK->LRP1,DC->CAF,0.06882804310721377,P01
MDK->LRP1,DC->EMT,0.1116470350963884,P01
MDK->LRP1,DC->ETC,0.03600305342390511,P01
MDK->LRP1,DC->Endo,0.03529761619603326,P01
MDK->LRP1,DC->TAM,0.1234364854030868,P01
MDK->LRP1,EMT->CAF,0.1836159226966746,P01
MDK->LRP1,EMT->EMT,0.2978462330192673,P01
MDK->LRP1,EMT->ETC,0.09604709905859787,P01
MDK->LRP1,EMT->Endo,0.0941651698092292,P01
MDK->LRP1,EMT->TAM,0.3292975237784568,P01
MDK->LRP1,ETC->CAF,0.5627612118399284,P01
MDK->LRP1,ETC->EMT,0.9128636807428478,P01
MDK->LRP1,ETC->ETC,0.2943730645256568,P01
MDK->LRP1,ETC->Endo,0.2886051726706499,P01
MDK->LRP1,ETC->TAM,1.009258188591769,P01
