LR,cell_type_pair,Patient
CCL3L1->CCR5,DC->DC,P08
CCL3L1->CCR5,DC->TAM,P08
CCL3L1->CCR5,DC->TIL,P08
CCL3L1->CCR5,ETC->DC,P08
CCL3L1->CCR5,ETC->TAM,P08
CCL3L1->CCR5,ETC->TIL,P08
CCL3L1->CCR5,TAM->DC,P08
CCL3L1->CCR5,TAM->TAM,P08
CCL3L1->CCR5,TAM->TIL,P08
CCL11->CCR5,CAF->DC,P08
CCL11->CCR5,CAF->TAM,P08
CCL11->CCR5,CAF->TIL,P08
JAM2->JAM3,CAF->CAF,P08
JAM2->JAM3,CAF->ETC,P08
JAM2->JAM3,CAF->Endo,P08
JAM2->JAM3,DC->CAF,P08
JAM2->JAM3,DC->ETC,P08
JAM2->JAM3,DC->Endo,P08
JAM2->JAM3,ETC->CAF,P08
JAM2->JAM3,ETC->ETC,P08
JAM2->JAM3,ETC->Endo,P08
JAM2->JAM3,Endo->CAF,P08
JAM2->JAM3,Endo->ETC,P08
JAM2->JAM3,Endo->Endo,P08
JAM2->JAM3,TAM->CAF,P08
JAM2->JAM3,TAM->ETC,P08
JAM2->JAM3,TAM->Endo,P08
JAM3->JAM2,CAF->CAF,P08
JAM3->JAM2,CAF->DC,P08
JAM3->JAM2,CAF->ETC,P08
JAM3->JAM2,CAF->Endo,P08
JAM3->JAM2,CAF->TAM,P08
JAM3->JAM2,ETC->CAF,P08
JAM3->JAM2,ETC->DC,P08
JAM3->JAM2,ETC->ETC,P08
JAM3->JAM2,ETC->Endo,P08
JAM3->JAM2,ETC->TAM,P08
JAM3->JAM2,Endo->CAF,P08
JAM3->JAM2,Endo->DC,P08
JAM3->JAM2,Endo->ETC,P08
JAM3->JAM2,Endo->Endo,P08
JAM3->JAM2,Endo->TAM,P08
CCN2->FGFR2,NA,NA
THPO->MPL,NA,NA
DHH->PTCH2,CAF->CAF,P08
DHH->PTCH2,CAF->ETC,P08
DHH->PTCH2,ETC->CAF,P08
DHH->PTCH2,ETC->ETC,P08
CCL2->ACKR1,NA,NA
WNT9B->FZD8,NA,NA
APOE->LRP1,CAF->CAF,P09
APOE->LRP1,CAF->ETC,P09
APOE->LRP1,CAF->Endo,P09
APOE->LRP1,CAF->TAM,P09
APOE->LRP1,DC->CAF,P09
APOE->LRP1,DC->ETC,P09
APOE->LRP1,DC->Endo,P09
APOE->LRP1,DC->TAM,P09
APOE->LRP1,ETC->CAF,P09
APOE->LRP1,ETC->ETC,P09
APOE->LRP1,ETC->Endo,P09
APOE->LRP1,ETC->TAM,P09
APOE->LRP1,Endo->CAF,P09
APOE->LRP1,Endo->ETC,P09
APOE->LRP1,Endo->Endo,P09
APOE->LRP1,Endo->TAM,P09
APOE->LRP1,TAM->CAF,P09
APOE->LRP1,TAM->ETC,P09
APOE->LRP1,TAM->Endo,P09
APOE->LRP1,TAM->TAM,P09
RSPO4->LGR5,NA,NA
GDF3->TDGF1,NA,NA
WNT3A->FZD8,CAF->CAF,P09
WNT3A->FZD8,CAF->ETC,P09
WNT3A->FZD8,CAF->TAM,P09
WNT3A->FZD8,ETC->CAF,P09
WNT3A->FZD8,ETC->ETC,P09
WNT3A->FZD8,ETC->TAM,P09
NGF->SORT1,NA,NA
WNT3->FZD8,CAF->CAF,P09
WNT3->FZD8,CAF->ETC,P09
WNT3->FZD8,CAF->TAM,P09
WNT3->FZD8,ETC->CAF,P09
WNT3->FZD8,ETC->ETC,P09
WNT3->FZD8,ETC->TAM,P09
WNT3->FZD8,TAM->CAF,P09
WNT3->FZD8,TAM->ETC,P09
WNT3->FZD8,TAM->TAM,P09
WNT8A->FZD8,NA,NA
ICOSLG->CD28,CAF->TAM,P09
ICOSLG->CD28,DC->TAM,P09
ICOSLG->CD28,ETC->TAM,P09
ICOSLG->CD28,Endo->TAM,P09
ICOSLG->CD28,TAM->TAM,P09
NTN1->NEO1,ETC->CAF,P09
NTN1->NEO1,ETC->ETC,P09
NTN1->NEO1,Endo->CAF,P09
NTN1->NEO1,Endo->ETC,P09
FGF9->FGFR4,CAF->ETC,P09
FGF9->FGFR4,CAF->TAM,P09
FGF9->FGFR4,ETC->ETC,P09
FGF9->FGFR4,ETC->TAM,P09
WNT1->FZD8,NA,NA
BDNF->SORT1,CAF->CAF,P09
BDNF->SORT1,CAF->DC,P09
BDNF->SORT1,CAF->ETC,P09
BDNF->SORT1,CAF->Endo,P09
BDNF->SORT1,CAF->TAM,P09
BDNF->SORT1,ETC->CAF,P09
BDNF->SORT1,ETC->DC,P09
BDNF->SORT1,ETC->ETC,P09
BDNF->SORT1,ETC->Endo,P09
BDNF->SORT1,ETC->TAM,P09
RSPO3->FZD8,CAF->CAF,P09
RSPO3->FZD8,CAF->ETC,P09
RSPO3->FZD8,CAF->TAM,P09
RSPO3->FZD8,ETC->CAF,P09
RSPO3->FZD8,ETC->ETC,P09
RSPO3->FZD8,ETC->TAM,P09
RSPO3->FZD8,Endo->CAF,P09
RSPO3->FZD8,Endo->ETC,P09
RSPO3->FZD8,Endo->TAM,P09
RSPO3->FZD8,TAM->CAF,P09
RSPO3->FZD8,TAM->ETC,P09
RSPO3->FZD8,TAM->TAM,P09
IHH->BOC,CAF->CAF,P09
IHH->BOC,CAF->ETC,P09
IHH->BOC,CAF->Endo,P09
IHH->BOC,ETC->CAF,P09
IHH->BOC,ETC->ETC,P09
IHH->BOC,ETC->Endo,P09
