barcode,annotation
cell_2810,ETC
cell_2811,TAM
cell_2812,ETC
cell_2813,TAM
cell_2814,TAM
cell_2815,TAM
cell_2816,TAM
cell_2817,CAF
cell_2818,TAM
cell_2819,ETC
cell_2820,TAM
cell_2821,TAM
cell_2822,TAM
cell_2823,CAF
cell_2824,CAF
cell_2825,Endo
cell_2826,TAM
cell_2827,TAM
cell_2828,TAM
cell_2829,TAM
cell_2830,TAM
cell_2831,TAM
cell_2832,ETC
cell_2833,TAM
cell_2834,TAM
cell_2835,TAM
cell_2836,TAM
cell_2837,CAF
cell_2838,ETC
cell_2839,CAF
cell_2840,TAM
cell_2841,CAF
cell_2842,TAM
cell_2843,TAM
cell_2844,ETC
cell_2845,DC
cell_2846,TAM
cell_2847,TAM
cell_2848,CAF
cell_2849,TAM
cell_2850,CAF
cell_2851,CAF
cell_2852,ETC
cell_2853,DC
cell_2854,TAM
cell_2855,TAM
cell_2856,ETC
cell_2857,ETC
cell_2858,TAM
cell_2859,TAM
cell_2860,CAF
cell_2861,TAM
cell_2862,TAM
cell_2863,TAM
cell_2864,Endo
cell_2865,TIL
cell_2866,TAM
cell_2867,TAM
cell_2868,TAM
cell_2869,DC
cell_2870,TAM
cell_2871,TIL
cell_2872,TAM
cell_2873,TIL
cell_2874,DC
cell_2875,TAM
cell_2876,ETC
cell_2877,TAM
cell_2878,TIL
cell_2879,TAM
cell_2880,TAM
cell_2881,DC
cell_2882,TAM
cell_2883,TAM
cell_2884,ETC
cell_2885,TAM
cell_2886,CAF
cell_2887,ETC
cell_2888,TAM
cell_2889,TAM
cell_2890,TAM
cell_2891,TAM
cell_2892,TAM
cell_2893,TAM
cell_2894,TAM
cell_2895,TAM
cell_2896,TIL
cell_2897,CAF
cell_2898,CAF
cell_2899,TAM
cell_2900,Endo
cell_2901,TIL
cell_2902,ETC
cell_2903,TAM
cell_2904,TAM
cell_2905,TIL
cell_2906,CAF
cell_2907,CAF
cell_2908,ETC
cell_2909,TAM
cell_2910,TAM
cell_2911,TAM
cell_2912,ETC
cell_2913,CAF
cell_2914,CAF
cell_2915,TAM
cell_2916,TAM
cell_2917,CAF
cell_2918,TAM
cell_2919,CAF
cell_2920,CAF
cell_2921,ETC
cell_2922,TAM
cell_2923,TAM
cell_2924,TAM
cell_2925,CAF
cell_2926,TAM
cell_2927,ETC
cell_2928,ETC
cell_2929,TIL
cell_2930,TAM
cell_2931,TAM
cell_2932,TAM
cell_2933,TAM
cell_2934,ETC
cell_2935,CAF
cell_2936,TIL
cell_2937,TAM
cell_2938,CAF
cell_2939,CAF
cell_2940,TAM
cell_2941,TAM
cell_2942,TAM
cell_2943,ETC
cell_2944,TAM
cell_2945,CAF
cell_2946,TAM
cell_2947,TAM
cell_2948,CAF
cell_2949,DC
cell_2950,ETC
cell_2951,TAM
cell_2952,ETC
cell_2953,TAM
cell_2954,TAM
cell_2955,ETC
cell_2956,TIL
cell_2957,CAF
cell_2958,TIL
cell_2959,TAM
cell_2960,ETC
cell_2961,TAM
cell_2962,TAM
cell_2963,Endo
cell_2964,ETC
cell_2965,TAM
cell_2966,TAM
cell_2967,TAM
cell_2968,CAF
cell_2969,TAM
cell_2970,TIL
cell_2971,ETC
cell_2972,DC
cell_2973,ETC
cell_2974,TAM
cell_2975,TAM
cell_2976,DC
cell_2977,TAM
cell_2978,TAM
cell_2979,CAF
cell_2980,DC
cell_2981,TIL
cell_2982,CAF
cell_2983,TAM
cell_2984,ETC
cell_2985,TAM
cell_2986,ETC
cell_2987,ETC
cell_2988,TAM
