LR,adjPval,meanHR
FGF21->FGFR4,0.012195069268862352,0.5614395377250473
FGF23->FGFR4,0.012195069268862352,0.5614395377250473
FGF4->FGFR4,0.012195069268862352,0.5614395377250473
FGF6->FGFR4,0.012195069268862352,0.5614395377250473
FGF8->FGFR4,0.012195069268862352,0.5614395377250473
HAS2->HMMR,0.013851349083014927,1.7667906857865876
FGB->ITGA2B,0.015706724596721067,1.822992177070643
IHH->PTCH2,0.01804778104824721,0.5368409147969055
FGF3->FGFR4,0.01804778104824721,0.5658702360067113
WNT7B->FZD10,0.01804778104824721,1.6345820115814582
GHRL->MLNR,0.018817122784059993,0.6194757298066967
SEMA7A->ITGB1,0.020254796548600934,1.640923995632739
TGM2->SDC4,0.022042074964597556,1.7515400325221964
ANXA1->DYSF,0.023191950102071663,1.6305979261823036
IL31->IL31RA,0.023575531958427036,1.9478366500483055
FGF5->FGFR4,0.02442824146363507,0.550186833239606
ANXA1->FPR1,0.026628711617576878,1.615202368303166
APOE->LRP5,0.026798287436583097,0.6295565907322106
PROC->TEK,0.026798287436583097,0.6715457675507888
DKK1->LRP4,0.026798287436583097,1.5929729151396852
ANXA1->FPR3,0.026798287436583097,1.614200383443598
LRPAP1->LRP8,0.027297099816944646,0.6254362674820096
CALCA->RAMP2,0.030167201740002658,0.6220077135889155
TGM2->ADGRG1,0.030167201740002658,1.875165230499188
RELN->LRP8,0.03143976455943227,0.5895049383729085
CD226->NECTIN2,0.03143976455943227,0.6401515295895626
NECTIN2->CD226,0.03143976455943227,0.6401515295895626
ANXA1->FPR2,0.03143976455943227,1.6361058666505377
INHA->TGFBR3,0.03150670055580936,0.6289770913223796
NTF4->NTRK1,0.032187967199041545,1.5771280510730545
A2M->LRP1,0.03292923922690479,0.6751075137473619
TNFSF13->SDC2,0.03441239740401709,0.5835710621745742
LRPAP1->LRP2,0.03488918717625206,0.6418321136405943
LAMC2->ITGA3,0.03663140451941859,1.642584925589876
LRPAP1->LRP1,0.03663140451941859,0.6741320640800481
FGF7->FGFR2,0.036906031191580625,0.5491208405660724
NRTN->RET,0.03832757253089536,0.6634920413404782
RGMA->NEO1,0.03832757253089536,0.6225849790812674
CCL24->CCR2,0.038493445550853066,0.6099378412940375
WNT7A->FZD9,0.038493445550853066,1.6268774676977316
LAMA2->DAG1,0.038493445550853066,0.7105434795043042
GDNF->GFRA1,0.03922378635905261,0.6277546827661624
SHH->GPC5,0.039682287260173754,0.5735312933189971
APELA->APLNR,0.039682287260173754,0.6373834704992728
EREG->ERBB4,0.04109005922869255,1.8849572759420963
PSAP->LRP1,0.04268910668015828,0.6715188247712106
NXPH1->NRXN3,0.043166365412484045,0.6788333109356786
PTN->PTPRB,0.043598948927771206,0.6600709218829485
NAMPT->INSR,0.043598948927771206,1.438196868742808
VEGFA->GPC1,0.043598948927771206,1.7375584693704782
SEMA3A->NRP1,0.043598948927771206,1.6697304896507859
PTGS2->CAV1,0.04428748296825123,1.5942286216228236
ARTN->GFRA1,0.04428748296825123,0.6508263096334986
MDK->LRP1,0.04428748296825123,0.6521693057014465
C4BPA->LRP1,0.04428748296825123,0.6479106579822994
ARF1->PLD2,0.044912672268788624,0.5905072074525346
GPC3->CD81,0.048159398527548115,0.6957868758628657
ICOS->ICOSLG,0.049596277438711686,0.5919929934237556
ICOSLG->ICOS,0.049596277438711686,0.5919929934237556
TDGF1->ACVR1B,0.050381786366437836,0.6604472287988942
NECTIN2->PVRIG,0.050696539032039176,0.7010123726022782
DHH->BOC,0.052506745818916914,0.6993531584022399
FGA->ITGB3,0.055805720946480626,1.6442092899818455
APOD->LEPR,0.056340451694267935,0.7427787207779336
EDN3->EDNRB,0.0563913102048692,0.6356231625004061
ADAM17->ITGB1,0.0592694160253081,1.5680938806754063
DSC3->DSG3,0.06226260993930168,1.6901949820307156
BMP8A->ACVR2A,0.06254893444934438,0.7133473928071072
ARF1->CHRM3,0.06463008194044975,0.6012223360730119
AGRP->SDC3,0.06509287504430104,0.655844172595796
SLAMF6->SLAMF6,0.06511483991499166,0.6400678580725843
CXCL16->CXCR6,0.06534029119227446,0.5912468603611362
VIP->VIPR1,0.06534029119227446,0.6562721064924228
C1QB->LRP1,0.06534029119227446,0.6796541669091103
IL33->IL1RL1,0.06663559218139851,0.5952556313470205
ADAM9->ITGB1,0.06663559218139851,1.4769453786440756
ADM->CALCR,0.06663559218139851,1.5571257230335671
ECM1->ITGB4,0.06663559218139851,1.3670799587841733
AGRP->MC3R,0.06764871830447082,0.6225105024132868
ADAM9->ITGA3,0.06793569449961749,1.4738295996304651
WNT7B->FZD8,0.06793569449961749,1.3941615373470342
ADM->MRGPRX2,0.06834488962064729,1.5319396235846214
SLURP1->CHRNA7,0.07214345076439485,0.5943342831236554
SPP1->ITGA4,0.07214345076439485,1.6252190227204455
OMG->TNFRSF1B,0.07359449674939375,0.6614639337159746
SPP1->ITGA9,0.07486834044400889,1.6373331222122833
SPP1->ITGB3,0.07486834044400889,1.6373331222122833
PTGS2->PTGDR2,0.0762030454588742,1.4676230989801542
NCR3LG1->NCR3,0.07812762380223558,0.6518578660160566
FGB->ITGA5,0.07812762380223558,1.4540285633439565
VEGFA->NRP1,0.07812762380223558,1.583902500982923
SPP1->ITGB5,0.07980198637244239,1.5347609687526693
