LR,Pval_PAAD-US,Pval_PACA-AU,Pval_PACA-CA,HR_PAAD-US,HR_PACA-AU,HR_PACA-CA,meta_Pval,adjPval
NXPH2->NRXN1,0.006908715894766715,0.32139635313924486,0.45845990357063393,0.4467439963231875,0.7792107509710334,1.2203693223424594,0.08116780455919072,0.18982081641901263
IL3->IL3RA,0.006978105305106785,0.3426603992792907,0.19116259204512975,0.4112894768554001,0.853240809003047,0.7581317260664713,0.026360973248338464,0.11387142052934855
CCL17->CCR8,0.007193864482339829,0.8973162341224457,0.514987386405601,0.521737501161343,0.967969316892807,0.8543664170014231,0.43979701676439387,0.37375128237233274
APOE->LRP1,0.007229722494163204,0.014977890912271086,0.0058315206549302,0.5356067071757121,0.45492937414258755,0.6478646695307597,3.6740286693569757e-6,7.326969060031033e-4
CCL24->CCR2,0.007231338005910248,0.16888984721582712,0.09390240906335323,0.480417976319998,0.5891512094492106,0.7602443381129037,0.0032813600868469303,0.038493445550853066
GRN->SORT1,0.007254205406138414,0.03514434575487324,0.7332755370974254,0.4898092947162793,0.45726452922875643,1.0792908852190177,0.07778334242588378,0.1870372736737154
HGF->MET,0.007296467019084041,0.23461343821702108,0.4837728731813137,2.3970781126047305,1.492053377248799,1.1024030836561898,0.0636926325817697,0.17320865543103264
CCL22->CCR4,0.007301337152127885,0.9276466349688695,0.3250349445237879,0.5253628765108354,1.0950586565523177,0.8508294994266132,0.3245961715548929,0.3299894060226362
RPH3A->NRXN1,0.007386689814580905,0.25634238073185633,0.7999836049903329,0.4327185679054605,0.7629254936347049,1.127992504007759,0.20046644721911128,0.26436252211519795
CFP->NCR1,0.007811424117634469,0.2941578363314621,0.7391524945517283,0.52366420648358325,1.6351572014958606,0.90889027692434,0.18804986458903286,0.2619466980305382
CCL3L1->CCR5,0.007840655875721803,0.45977981939228796,0.0012243381170573553,0.5104603072523226,0.7413970065704142,0.49756425710413216,0.01717655631197679,0.09594455603257562
NCAM1->GFRA1,0.0078754409870887,0.02327870579901925,0.7932666234733605,0.46715426085157946,0.5415368461252412,0.9302243549716216,0.09338895674321165,0.20170600428748736
CCL7->CCR5,0.008368996323390276,0.7256662962024324,0.009595395517341343,0.49655188066597383,0.9949817704284942,0.5882609756611052,0.06853630099750686,0.17866564140612942
ZG16B->CXCR4,0.008434379138963388,0.09769484710424048,0.006275976130017069,0.45641158406335597,0.5837517977269101,0.6668497082923849,2.3670530162174435e-4,0.00690807741108296
DSC3->DSG4,0.008501736237178537,0.029281704836838895,0.012581460033656455,2.2980971383404554,2.359003429439174,1.8108824876255902,2.129279663632039e-5,0.001959848139836987
EDN3->EDNRB,0.008573989036163798,0.28254952650790677,0.039662224673809865,0.499205109655043,0.7074620673563854,0.7002023104897899,0.006032385504683492,0.0563913102048692
SHH->GPC5,0.008775632559003266,0.213735449987155,0.05291267120373433,0.3968144643966019,0.5914529768503929,0.7323264387099964,0.0034821937251787705,0.039682287260173754
HSPG2->COL13A1,0.008775758162483105,0.3583268072300212,0.5309254937053589,0.45421885370207304,0.7546495721855374,0.8929408925163392,0.12070311250455053,0.2204904891717468
MLN->MLNR,0.008851868823871789,0.6071833353872853,0.46658063732588106,0.4048823242121648,0.8084901106589435,0.825896983496331,0.21119931464255354,0.2699912707352777
CRH->CRHR2,0.009033709146969549,0.7652909066918195,0.16974979046734184,0.5445202722119662,1.0123445976119052,0.6552449464490885,0.14023855301554497,0.23701030626283376
EDN2->EDNRB,0.009165757490323112,0.32369816220816505,0.7268905427222605,0.48816111221594854,0.7426201025509028,1.063084645814941,0.19825807608953486,0.26436252211519795
SHH->LRP2,0.009182305759992349,0.06516553786784274,0.04444362334220975,0.3827409644492225,0.5124258246413944,0.7438302054413835,2.7938590112182e-4,0.007496792550781332
NODAL->TDGF1,0.009593844972336396,0.06423979742308883,0.3807453691194843,0.43570281833703334,0.5041838968524264,0.8751216369242513,0.015655858570456812,0.0927381839553119
GDNF->GFRA1,0.010009521174265568,0.06611550117471898,0.19648070391942907,0.5243960503827759,0.6097190544331175,0.7491489434825938,0.003376398295481553,0.03922378635905261
PSPN->GFRA1,0.010009521174265568,0.08358997378036404,0.3277578700508147,0.5243960503827759,0.6346231357571263,0.8069520312630944,0.01246810692263991,0.08476584921608861
TAC3->TACR1,0.01004888522076286,0.8187849528954637,0.5742372236876052,0.48995772797711995,0.9482821665775486,0.9258040161105411,0.427606852555404,0.3700751569288611
ZP3->EGFR,0.010478173433792315,0.1279061246071138,0.7809310460636513,2.0631095957580623,1.3713915424163723,0.9660084609959932,0.12949180253159265,0.22812831546831405
NXPH1->NRXN1,0.01050946616868842,0.25634238073185633,0.6541693816058002,0.4454305351287521,0.7629254936347049,1.149807076919785,0.13021399715225096,0.2284579960574211
