Cohort,LR,Pval,HR
PAAD-US,ICAM1->ITGAX,0.02760092324196317,1.8411449804140043
PAAD-US,GNAI2->F2R,0.027774873308737513,1.599713859971533
PAAD-US,MMP9->CD44,0.027993213067281753,0.4858911436606019
PAAD-US,HGF->CD44,0.028070363260286002,0.5501287645174819
PAAD-US,BDNF->SORT1,0.028518473909376896,1.634185515659132
PAAD-US,CCL4L1->CCR3,0.02863155200826717,2.011264491449854
PAAD-US,PRLH->PRLHR,0.028951187501633946,1.5871620202399717
PAAD-US,SELPLG->SELP,0.029154766318028602,1.8544882384906443
PAAD-US,SLITRK1->PTPRS,0.02927343120815873,1.6193867421248134
PAAD-US,ICAM2->ITGAM,0.029860916420581307,1.75877894742682
PAAD-US,IHH->PTCH1,0.029906091658038703,2.1024846469857628
PAAD-US,TAC4->TACR1,0.03001632708855284,1.677343356335631
PAAD-US,APELA->APLNR,0.0300859642856931,1.542804702464453
PAAD-US,NLGN3->NRXN2,0.0301614962054908,1.5827120238044452
PAAD-US,NXPH1->NRXN2,0.0301614962054908,1.5827120238044452
PAAD-US,ANXA2->ROBO4,0.03129056035492639,0.6655934336853521
PAAD-US,SPON1->APP,0.031364232747818965,1.955216000631203
PAAD-US,GRN->TNFRSF1A,0.031509755104395354,1.95601533681041
PAAD-US,NTNG2->LRRC4,0.03174382306805701,2.026648555340733
PAAD-US,WNT2B->FZD4,0.0317701211510556,1.507463164017318
PAAD-US,LGI4->ADAM11,0.03209264670199685,2.267113389842324
PAAD-US,PROK1->PROKR2,0.03214440990018308,1.5645480584321272
PAAD-US,LGI3->ADAM23,0.03223683310157344,1.8501598234627863
PAAD-US,RSPO2->RNF43,0.03226697895790098,1.893370650004303
PAAD-US,NLGN1->NRXN2,0.03241384151949844,1.572283541161755
PAAD-US,IHH->BOC,0.03249401555459108,2.0559875215268675
PAAD-US,PTN->PTPRB,0.03282301122577713,1.7800847407185232
PAAD-US,TAC3->TACR3,0.03283187352514705,2.042964505511319
PAAD-US,CD38->PECAM1,0.032959683748781776,1.5771589457696529
PAAD-US,PECAM1->CD38,0.032959683748781776,1.5771589457696529
PAAD-US,RAET1E->KLRK1,0.03299588452399027,1.8558227871918218
PAAD-US,SEMA4A->PLXND1,0.033104385300448014,1.631241111119009
PAAD-US,CCL2->CCR5,0.03314312033919664,1.6164396443756552
PAAD-US,DSC1->DSG3,0.03342722309676749,0.6085728526280053
PAAD-US,CD1D->LILRB2,0.03378279138138063,1.6799438521567247
PAAD-US,WNT3A->FZD6,0.033855903920342434,0.5350474780508774
PAAD-US,NLGN4X->NRXN1,0.034032596103388824,1.691499811384338
PAAD-US,BMP2->HJV,0.03403438828272687,0.5307492135498257
PAAD-US,NTS->SORT1,0.034039891075639095,1.7796551667750575
PAAD-US,SLITRK2->PTPRS,0.0341506685258286,1.6484000894575679
PAAD-US,CCL17->CCR4,0.035403036317921965,1.6649241506123023
PAAD-US,CCL14->CCR1,0.0354323119693688,1.7205337357025474
PAAD-US,CNTF->LIFR,0.03616192586622691,1.9015238018190441
PAAD-US,GNAI2->C5AR1,0.036231887297781595,1.7660947430025942
PAAD-US,L1CAM->EGFR,0.03625253750665902,0.6641094262965337
PAAD-US,HCRT->NPFFR2,0.03627109435786202,2.0305657443234493
PAAD-US,APOE->LRP5,0.0369162559635281,1.8905535385755317
PAAD-US,GCG->GCGR,0.0371023143922814,1.6178138589748468
PAAD-US,GCG->GLP1R,0.0371023143922814,1.6178138589748468
PAAD-US,GCG->GLP2R,0.0371023143922814,1.6178138589748468
PAAD-US,EFNA2->EPHA1,0.03720524776857781,2.1975886911118074
PAAD-US,DLL4->NOTCH1,0.037333797012097936,1.8247486502442547
PAAD-US,SEMA4A->PLXNB1,0.03744681378554382,1.8766643399528984
PAAD-US,IL6->IL6R,0.03747610582570615,1.9500017553984743
PAAD-US,EFNA2->EPHA7,0.037754021933117166,2.072946196703772
PAAD-US,MIF->CXCR2,0.038233534994576046,0.72255958350978855
PAAD-US,PLAU->ST14,0.03854420194161057,0.6632181459464234
PAAD-US,CD59->CD2,0.03856059574512427,0.5287738494853651
PAAD-US,BMP7->ENG,0.03878209300484359,1.5141323830934588
PAAD-US,CCL3->CCR4,0.03886970106996446,1.5914385097380306
PAAD-US,TGFB1->TGFBR3,0.039140322257726456,1.8324373930314493
PAAD-US,RELN->ITGA3,0.03916755575425501,0.6089837793214359
PAAD-US,CCL14->CCR5,0.03944581429281124,1.9035226495524982
PAAD-US,SLITRK6->PTPRS,0.03969020209711793,1.785730883263885
PAAD-US,F2->GP1BA,0.03982240861376163,1.6048060691580472
PAAD-US,NPY->NPY2R,0.03986173185983721,2.1843816980408097
