PAAD-US,CCI,pval,hr,median_day_low,median_day_high,diff_day
PACA-CA,ETC->EMT,0.023183531530653445,0.6254224283931932,455,625,-170
PACA-CA,TAM->Endo,0.023904814492173077,0.645952043273479,455,625,-170
PACA-CA,TIL->TAM,0.027357108694554655,0.6583087387556029,455,633,-178
PACA-CA,EMT->TIL,0.027569258826981247,0.634964641453159,456,625,-169
PACA-CA,TIL->ETC,0.03825064424593416,0.6668517238998974,446,631,-185
PACA-CA,TAM->TIL,0.03907899830984629,0.6597771997062559,456,592,-136
PACA-CA,EMT->Endo,0.03911711894086223,0.6486812239241356,456,625,-169
PACA-CA,Endo->EMT,0.04389899698293964,0.6618898754592577,456,592,-136
PACA-CA,EMT->CAF,0.049156432916157566,0.6575618894139494,456,592,-136
PACA-CA,CAF->EMT,0.0498033998447297,0.664476733744268,456,592,-136
PACA-CA,EMT->EMT,0.0498033998447297,0.664476733744268,456,592,-136
PACA-CA,CAF->ETC,0.0583852223875414,0.6247309908036369,446,627,-181
PACA-CA,ETC->TIL,0.061517101259328855,0.693177860998535,456,590,-134
PACA-CA,EMT->DC,0.06488273116298282,0.6653269361531035,456,592,-136
PACA-CA,DC->DC,0.066724976825073945,0.6993964144059499,455,591,-136
PACA-CA,CAF->TIL,0.07351828849567932,0.6967718953838422,456,590,-134
PACA-CA,CAF->DC,0.07963791956935318,0.6949390542034279,456,591,-135
PACA-CA,EMT->ETC,0.0888189911892957,0.6719899029511595,456,592,-136
PACA-CA,DC->Endo,0.08883648293345214,0.7300291425140487,456,587,-131
PACA-CA,TAM->DC,0.09922593916256184,0.7099204838181383,455,591,-136
PACA-CA,CAF->Endo,0.09930030178288118,0.7158227930815957,456,592,-136
PACA-CA,CAF->CAF,0.10980497615096751,0.6524681792815972,456,592,-136
PACA-CA,EMT->TAM,0.1209859216116318,0.7021773012109628,456,587,-131
PACA-CA,ETC->DC,0.14235738030486456,0.7483298893089426,456,587,-131
PACA-CA,CAF->TAM,0.15972197679257394,0.7340973953092876,456,590,-134
PACA-CA,Endo->DC,0.17397367926829466,0.7326637262535687,456,587,-131
PACA-CA,DC->TAM,0.1774380259788182,0.7562333752100119,456,587,-131
PACA-CA,ETC->TAM,0.1842694582159422,0.7364312770156751,467,590,-123
PACA-CA,ETC->Endo,0.1954732868505198,0.8223655310983197,456,578,-122
PACA-CA,DC->ETC,0.24760733814471814,0.8167951046693551,456,592,-136
PACA-CA,DC->CAF,0.2758575235498806,0.8317285103381953,456,592,-136
PACA-CA,TAM->CAF,0.39837304920986805,0.899317750507814,456,587,-131
PACA-CA,TAM->ETC,0.5148199014995793,0.8884442102690526,456,575,-119
PACA-CA,Endo->TAM,0.5401946133487877,0.8493838574933755,512,575,-63
PACA-CA,ETC->ETC,0.6214290136342833,1.310519604171132,578,482.5,95.5
PACA-CA,Endo->Endo,0.8541947836786417,0.9340042636148228,494,575,-81
PACA-CA,ETC->CAF,0.9365115564142754,1.2335650412675125,547,498.5,48.5
