LR,pval,hr,median_day_low,median_day_high,diff_day
AREG->EGFR,0.026291566989746995,0.614285503233251,199.5,181,-18.5
BMP2->ACVR2B,0.026507450912848673,0.5517094371071762,184.5,183,-1.5
IL13->IL4R,0.02652545853052346,2.2022520778623726,172.5,194,21.5
DNAJB11->PRTG,0.026943843778233778,0.6260862589766649,206.5,179,-27.5
SELPLG->SELL,0.02718446279614195,1.8666324397059084,181,194,13
ARTN->GFRA1,0.027356854969592392,1.6984686741787671,181,202,21
ANXA2->TLR2,0.02736202436963231,0.6366051721293859,179,194,15
CCL2->CCR2,0.02743480216302341,1.6457372912918706,195.5,179,-16.5
CALCA->RAMP2,0.027516225444623177,1.695300562554222,184.5,183,-1.5
ICAM1->ITGAX,0.02760092324196317,1.8411449804140048,180,194,14
GNAI2->F2R,0.027774873308737513,1.5997138599715337,162.5,202,39.5
MMP9->CD44,0.027993213067281753,0.4858911436606014,224,181,-43
HGF->CD44,0.028070363260286002,0.5501287645174817,208,181,-27
BDNF->SORT1,0.028518473909376896,1.6341855156591312,172.5,202,29.5
CCL4L1->CCR3,0.02863155200826717,2.011264491449853,195.5,181,-14.5
SELPLG->SELP,0.029154766318028602,1.854488238490643,182,188,6
ICAM2->ITGAM,0.029860916420581307,1.7587789474268203,181,194,13
IHH->PTCH1,0.029906091658038703,2.1024846469857623,173,247,74
NLGN3->NRXN2,0.0301614962054908,1.5827120238044452,165.5,197,31.5
ANXA2->ROBO4,0.03129056035492639,0.665593433685352,179,194,15
GRN->TNFRSF1A,0.031509755104395354,1.9560153368104096,150,219,69
NTNG2->LRRC4,0.03174382306805701,2.0266485553407327,195.5,179,-16.5
WNT2B->FZD4,0.0317701211510556,1.5074631640173182,195.5,179,-16.5
LGI4->ADAM11,0.03209264670199685,2.2671133898423217,181,188,7
LGI3->ADAM23,0.03223683310157344,1.8501598234627876,181,202,21
NLGN1->NRXN2,0.03241384151949844,1.5722835411617546,173,197,24
IHH->BOC,0.03249401555459108,2.055987521526869,182,194,12
PTN->PTPRB,0.03282301122577713,1.7800847407185227,164,209,45
RAET1E->KLRK1,0.03299588452399027,1.855822787191821,208,181,-27
SEMA4A->PLXND1,0.033104385300448014,1.6312411111190086,205,181,-24
CCL2->CCR5,0.03314312033919664,1.6164396443756563,197,179,-18
DSC1->DSG3,0.03342722309676749,0.6085728526280052,181,194,13
CD1D->LILRB2,0.03378279138138063,1.6799438521567265,191,181,-10
WNT3A->FZD6,0.033855903920342434,0.5350474780508778,231,181,-50
NLGN4X->NRXN1,0.034032596103388824,1.6914998113843382,187.5,183,-4.5
NTS->SORT1,0.034039891075639095,1.779655166775057,164,216,52
SLITRK2->PTPRS,0.0341506685258286,1.6484000894575677,184.5,183,-1.5
CCL17->CCR4,0.035403036317921965,1.664924150612302,239.5,164,-75.5
CCL14->CCR1,0.0354323119693688,1.7205337357025479,191,179,-12
CNTF->LIFR,0.03616192586622691,1.901523801819044,185.5,181,-4.5
GNAI2->C5AR1,0.036231887297781595,1.7660947430025942,159.5,194,34.5
L1CAM->EGFR,0.03625253750665902,0.6641094262965337,231,181,-50
HCRT->NPFFR2,0.03627109435786202,2.030565744323451,181,197,16
APOE->LRP5,0.0369162559635281,1.890553538575532,180,188,8
GCG->GCGR,0.0371023143922814,1.6178138589748448,173,188,15
GCG->GLP2R,0.0371023143922814,1.6178138589748448,173,188,15
GCG->GLP1R,0.0371023143922814,1.6178138589748448,173,188,15
EFNA2->EPHA1,0.03720524776857781,2.197588691111808,171.5,239,67.5
DLL4->NOTCH1,0.037333797012097936,1.8247486502442531,192.5,181,-11.5
SEMA4A->PLXNB1,0.03744681378554382,1.8766643399528984,160.5,202,41.5
IL6->IL6R,0.03747610582570615,1.9500017553984743,185.5,179,-6.5
EFNA2->EPHA7,0.037754021933117166,2.0729461967037723,162.5,240,77.5
PLAU->ST14,0.03854420194161057,0.6632181459464231,222.5,181,-41.5
CD59->CD2,0.03856059574512427,0.5287738494853648,171.5,194,22.5
BMP7->ENG,0.03878209300484359,1.514132383093457,181,216,35
CCL3->CCR4,0.03886970106996446,1.59143850973803,182,194,12
TGFB1->TGFBR3,0.039140322257726456,1.8324373930314484,159.5,202,42.5
RELN->ITGA3,0.03916755575425501,0.608983779321436,179,188,9
CCL14->CCR5,0.03944581429281124,1.903522649552499,218,164,-54
SLITRK6->PTPRS,0.03969020209711793,1.7857308832638845,199.5,179,-20.5
F2->GP1BA,0.03982240861376163,1.6048060691580481,181,194,13
TGFB3->ACVRL1,0.040003956655973005,1.5504308146899568,191,181,-10
NPNT->ITGA8,0.040276072686135755,1.8843387849904947,173,194,21
SEMA7A->ITGB1,0.040393374403933424,0.5626464168084937,179,194,15
TNFSF13->TNFRSF1A,0.040663124872073575,1.8983428516566199,181,239,58
PVR->CD96,0.040793387349777444,1.9826984535446013,171.5,194,22.5
CD96->PVR,0.040793387349777444,1.9826984535446013,171.5,194,22.5
CCL19->ACKR4,0.04087081561312067,1.5907154577234408,191,179,-12
CCL19->ACKR2,0.04087081561312067,1.5907154577234408,191,179,-12
CCL19->CCR10,0.040972796349411866,1.64191327097014,195.5,179,-16.5
NLGN3->NRXN1,0.041230432284049656,1.7339741069360617,184.5,183,-1.5
TFF3->CXCR4,0.04169648124852576,2.0623927736553,187.5,183,-4.5
APP->GPC1,0.04231312020830025,2.108469435332285,154,327,173
BMP2->BMPR1B,0.04254438741339428,0.565492130520013,198,181,-17
SLIT3->ROBO4,0.042638797285071695,1.6930694960755415,191,179,-12
ADAM23->ITGB3,0.042802426874585686,1.591860401558638,174,194,20
CCL19->CXCR3,0.04319929138428291,1.6325278585748781,195.5,179,-16.5
CD2->CD48,0.04323073839553937,1.6160048946966716,218,181,-37
CD48->CD2,0.04323073839553937,1.6160048946966716,218,181,-37
IL1RAPL1->PTPRS,0.04339663351822898,1.54868637328672,184.5,183,-1.5
LRRC4B->PTPRS,0.04339663351822898,1.54868637328672,184.5,183,-1.5
HAS2->CD44,0.04366996550900015,0.5832899542754045,208,181,-27
SERPINF1->PLXDC1,0.043810421504317465,1.70601249411645,215,181,-34
IL22->IL10RB,0.04391702873893222,1.7072325269849535,160.5,202,41.5
IFNL1->IL10RB,0.04391702873893222,1.7072325269849535,160.5,202,41.5
FGF16->FGFR4,0.04457226397651426,1.973482788015554,180,233,53
FGF17->FGFR4,0.04457226397651426,1.973482788015554,180,233,53
FGF20->FGFR4,0.04457226397651426,1.973482788015554,180,233,53
FGF21->FGFR4,0.04457226397651426,1.973482788015554,180,233,53
FGF23->FGFR4,0.04457226397651426,1.973482788015554,180,233,53
BMP8A->ACVR2B,0.04463787221605453,1.5668026019918153,173,202,29
PTGS2->PTGDR2,0.04469427225981981,0.6880720227012019,248.5,179,-69.5
FGF1->CD44,0.04498805704145903,0.5675885908015383,192.5,181,-11.5
ST6GAL1->CD22,0.045098223923100256,1.5647806898232866,171.5,216,44.5
PLA2G2A->ITGA4,0.04523303569053705,1.9361818643710957,195.5,179,-16.5
WNT5A->RYK,0.04574285937772116,0.541697161619075,171.5,194,22.5
PLA2G2A->ITGB3,0.04617035346962495,1.7000726336899197,233,179,-54
TNFRSF14->BTLA,0.04670239356948125,1.7745986740762156,172.5,233,60.5
BTLA->TNFRSF14,0.04670239356948125,1.7745986740762156,172.5,233,60.5
CD160->TNFRSF14,0.04670239356948125,1.7745986740762156,172.5,233,60.5
TNFRSF14->CD160,0.04670239356948125,1.7745986740762156,172.5,233,60.5
LTA->TNFRSF14,0.04670239356948125,1.7745986740762156,172.5,233,60.5
TNFSF14->TNFRSF14,0.04670239356948125,1.7745986740762156,172.5,233,60.5
ADAM9->ITGB1,0.047313349954948736,0.5681384485879752,179,194,15
AGRP->SDC3,0.04754181220746789,1.825706017330588,187.5,183,-4.5
PTHLH->PTH2R,0.04773196088178855,0.7134563517316654,244,161,-83
LY86->CD180,0.048217566223813346,1.6670865892831774,182,194,12
LTA->TNFRSF1B,0.04889490582290856,1.6088458813499678,181,202,21
OMG->TNFRSF1B,0.04889490582290856,1.6088458813499678,181,202,21
DLL1->NOTCH3,0.0493137229513162,1.56219900949486,149,197,48
SST->SSTR2,0.04948214175203014,1.5708723901347597,165.5,202,36.5
