"","sampleid","types"
"cell_388","P03","EMT"
"cell_389","P03","EMT"
"cell_390","P03","EMT"
"cell_391","P03","EMT"
"cell_392","P03","EMT"
"cell_393","P03","EMT"
"cell_394","P03","EMT"
"cell_395","P03","EMT"
"cell_396","P03","EMT"
"cell_397","P03","EMT"
"cell_398","P03","EMT"
"cell_399","P03","EMT"
"cell_400","P03","EMT"
"cell_401","P03","EMT"
"cell_402","P03","EMT"
"cell_403","P03","EMT"
"cell_404","P03","EMT"
"cell_405","P03","EMT"
"cell_406","P03","CAF"
"cell_407","P03","EMT"
"cell_408","P03","EMT"
"cell_409","P03","EMT"
"cell_410","P03","EMT"
"cell_411","P03","EMT"
"cell_412","P03","EMT"
"cell_413","P03","EMT"
"cell_414","P03","EMT"
"cell_415","P03","EMT"
"cell_416","P03","EMT"
"cell_417","P03","EMT"
"cell_418","P03","EMT"
"cell_419","P03","EMT"
"cell_420","P03","EMT"
"cell_421","P03","EMT"
"cell_422","P03","EMT"
"cell_423","P03","CAF"
"cell_424","P03","EMT"
"cell_425","P03","EMT"
"cell_426","P03","EMT"
"cell_427","P03","EMT"
"cell_428","P03","EMT"
"cell_429","P03","CAF"
"cell_430","P03","EMT"
"cell_431","P03","EMT"
"cell_432","P03","EMT"
"cell_433","P03","EMT"
"cell_434","P03","EMT"
"cell_435","P03","EMT"
"cell_436","P03","CAF"
"cell_437","P03","EMT"
"cell_438","P03","EMT"
"cell_439","P03","CAF"
"cell_440","P03","EMT"
"cell_441","P03","EMT"
"cell_442","P03","EMT"
"cell_443","P03","EMT"
"cell_444","P03","EMT"
"cell_445","P03","EMT"
"cell_446","P03","EMT"
"cell_447","P03","EMT"
"cell_448","P03","EMT"
"cell_449","P03","EMT"
"cell_450","P03","EMT"
"cell_451","P03","EMT"
"cell_452","P03","EMT"
"cell_453","P03","EMT"
"cell_454","P03","EMT"
"cell_455","P03","EMT"
"cell_456","P03","EMT"
"cell_457","P03","EMT"
"cell_458","P03","EMT"
"cell_459","P03","EMT"
"cell_460","P03","EMT"
"cell_461","P03","EMT"
"cell_462","P03","EMT"
"cell_463","P03","EMT"
"cell_464","P03","EMT"
"cell_465","P03","EMT"
"cell_466","P03","EMT"
"cell_467","P03","CAF"
"cell_468","P03","Endo"
"cell_469","P03","EMT"
"cell_470","P03","EMT"
"cell_471","P03","EMT"
"cell_472","P03","EMT"
"cell_473","P03","EMT"
"cell_474","P03","EMT"
"cell_475","P03","CAF"
"cell_476","P03","EMT"
"cell_477","P03","Endo"
"cell_478","P03","Endo"
"cell_479","P03","EMT"
"cell_480","P03","EMT"
"cell_481","P03","EMT"
"cell_482","P03","TAM"
"cell_483","P03","Endo"
"cell_484","P03","EMT"
"cell_485","P03","EMT"
"cell_486","P03","EMT"
"cell_487","P03","EMT"
"cell_488","P03","EMT"
"cell_489","P03","EMT"
"cell_490","P03","Endo"
"cell_491","P03","EMT"
"cell_492","P03","EMT"
"cell_493","P03","EMT"
"cell_494","P03","EMT"
"cell_495","P03","EMT"
"cell_496","P03","EMT"
"cell_497","P03","EMT"
"cell_498","P03","EMT"
"cell_499","P03","EMT"
"cell_500","P03","EMT"
"cell_501","P03","TAM"
"cell_502","P03","EMT"
"cell_503","P03","EMT"
"cell_504","P03","EMT"
"cell_505","P03","EMT"
"cell_506","P03","EMT"
"cell_507","P03","TAM"
"cell_508","P03","EMT"
"cell_509","P03","CAF"
"cell_510","P03","EMT"
"cell_511","P03","Endo"
"cell_512","P03","CAF"
"cell_513","P03","EMT"
"cell_514","P03","EMT"
"cell_515","P03","Endo"
"cell_516","P03","Endo"
"cell_517","P03","EMT"
"cell_518","P03","CAF"
"cell_519","P03","EMT"
"cell_520","P03","EMT"
"cell_521","P03","EMT"
"cell_522","P03","EMT"
"cell_523","P03","EMT"
"cell_524","P03","EMT"
"cell_525","P03","EMT"
"cell_526","P03","EMT"
"cell_527","P03","EMT"
"cell_528","P03","CAF"
"cell_529","P03","EMT"
"cell_530","P03","EMT"
"cell_531","P03","Endo"
"cell_532","P03","CAF"
"cell_533","P03","EMT"
"cell_534","P03","EMT"
"cell_535","P03","EMT"
"cell_536","P03","EMT"
"cell_537","P03","EMT"
"cell_538","P03","Endo"
"cell_539","P03","CAF"
"cell_540","P03","EMT"
"cell_541","P03","EMT"
"cell_542","P03","EMT"
"cell_543","P03","EMT"
"cell_544","P03","EMT"
"cell_545","P03","EMT"
"cell_546","P03","EMT"
"cell_547","P03","EMT"
"cell_548","P03","EMT"
"cell_549","P03","EMT"
"cell_550","P03","EMT"
"cell_551","P03","EMT"
"cell_552","P03","EMT"
"cell_553","P03","EMT"
"cell_554","P03","EMT"
"cell_555","P03","EMT"
"cell_556","P03","EMT"
"cell_557","P03","EMT"
"cell_558","P03","EMT"
"cell_559","P03","EMT"
"cell_560","P03","EMT"
"cell_561","P03","EMT"
"cell_562","P03","EMT"
"cell_563","P03","CAF"
"cell_564","P03","EMT"
"cell_565","P03","EMT"
"cell_566","P03","EMT"
"cell_567","P03","EMT"
"cell_568","P03","TAM"
"cell_569","P03","EMT"
"cell_570","P03","EMT"
"cell_571","P03","EMT"
"cell_572","P03","EMT"
"cell_573","P03","EMT"
"cell_574","P03","EMT"
"cell_575","P03","EMT"
"cell_576","P03","EMT"
"cell_577","P03","EMT"
"cell_578","P03","EMT"
"cell_579","P03","EMT"
"cell_580","P03","EMT"
"cell_581","P03","EMT"
"cell_582","P03","EMT"
"cell_583","P03","EMT"
"cell_584","P03","EMT"
"cell_585","P03","EMT"
"cell_586","P03","EMT"
"cell_587","P03","EMT"
"cell_588","P03","TAM"
"cell_589","P03","EMT"
"cell_590","P03","EMT"
"cell_591","P03","EMT"
"cell_592","P03","EMT"
"cell_593","P03","EMT"
"cell_594","P03","EMT"
"cell_595","P03","Endo"
"cell_596","P03","EMT"
"cell_597","P03","EMT"
"cell_598","P03","EMT"
"cell_599","P03","EMT"
"cell_600","P03","Endo"
"cell_601","P03","TAM"
"cell_602","P03","EMT"
"cell_603","P03","EMT"
"cell_604","P03","EMT"
"cell_605","P03","EMT"
"cell_606","P03","EMT"
"cell_607","P03","CAF"
"cell_608","P03","EMT"
"cell_609","P03","EMT"
"cell_610","P03","EMT"
"cell_611","P03","EMT"
"cell_612","P03","CAF"
"cell_613","P03","CAF"
"cell_614","P03","EMT"
"cell_615","P03","EMT"
"cell_616","P03","EMT"
"cell_617","P03","EMT"
"cell_618","P03","EMT"
"cell_619","P03","EMT"
"cell_620","P03","EMT"
"cell_621","P03","EMT"
"cell_622","P03","EMT"
"cell_623","P03","EMT"
"cell_624","P03","EMT"
"cell_625","P03","CAF"
"cell_626","P03","EMT"
"cell_627","P03","EMT"
