"","sampleid","types"
"cell_4051","P08","ETC"
"cell_4052","P08","ETC"
"cell_4053","P08","CAF"
"cell_4054","P08","ETC"
"cell_4055","P08","CAF"
"cell_4056","P08","ETC"
"cell_4057","P08","ETC"
"cell_4058","P08","TAM"
"cell_4059","P08","ETC"
"cell_4060","P08","ETC"
"cell_4061","P08","TAM"
"cell_4062","P08","ETC"
"cell_4063","P08","ETC"
"cell_4064","P08","Endo"
"cell_4065","P08","CAF"
"cell_4066","P08","ETC"
"cell_4067","P08","ETC"
"cell_4068","P08","ETC"
"cell_4069","P08","ETC"
"cell_4070","P08","ETC"
"cell_4071","P08","ETC"
"cell_4072","P08","ETC"
"cell_4073","P08","ETC"
"cell_4074","P08","ETC"
"cell_4075","P08","ETC"
"cell_4076","P08","ETC"
"cell_4077","P08","ETC"
"cell_4078","P08","ETC"
"cell_4079","P08","CAF"
"cell_4080","P08","TAM"
"cell_4081","P08","CAF"
"cell_4082","P08","ETC"
"cell_4083","P08","ETC"
"cell_4084","P08","DC"
"cell_4085","P08","ETC"
"cell_4086","P08","ETC"
"cell_4087","P08","ETC"
"cell_4088","P08","ETC"
"cell_4089","P08","CAF"
"cell_4090","P08","ETC"
"cell_4091","P08","ETC"
"cell_4092","P08","ETC"
"cell_4093","P08","ETC"
"cell_4094","P08","ETC"
"cell_4095","P08","ETC"
"cell_4096","P08","ETC"
"cell_4097","P08","ETC"
"cell_4098","P08","ETC"
"cell_4099","P08","ETC"
"cell_4100","P08","ETC"
"cell_4101","P08","ETC"
"cell_4102","P08","TAM"
"cell_4103","P08","ETC"
"cell_4104","P08","ETC"
"cell_4105","P08","ETC"
"cell_4106","P08","ETC"
"cell_4107","P08","ETC"
"cell_4108","P08","CAF"
"cell_4109","P08","CAF"
"cell_4110","P08","ETC"
"cell_4111","P08","ETC"
"cell_4112","P08","ETC"
"cell_4113","P08","ETC"
"cell_4114","P08","ETC"
"cell_4115","P08","ETC"
"cell_4116","P08","ETC"
"cell_4117","P08","ETC"
"cell_4118","P08","ETC"
"cell_4119","P08","ETC"
"cell_4120","P08","ETC"
"cell_4121","P08","ETC"
"cell_4122","P08","ETC"
"cell_4123","P08","ETC"
"cell_4124","P08","CAF"
"cell_4125","P08","CAF"
"cell_4126","P08","DC"
"cell_4127","P08","ETC"
"cell_4128","P08","ETC"
"cell_4129","P08","ETC"
"cell_4130","P08","ETC"
"cell_4131","P08","ETC"
"cell_4132","P08","ETC"
"cell_4133","P08","CAF"
"cell_4134","P08","ETC"
"cell_4135","P08","ETC"
"cell_4136","P08","ETC"
"cell_4137","P08","TAM"
"cell_4138","P08","ETC"
"cell_4139","P08","ETC"
"cell_4140","P08","ETC"
"cell_4141","P08","ETC"
"cell_4142","P08","ETC"
"cell_4143","P08","ETC"
"cell_4144","P08","ETC"
"cell_4145","P08","ETC"
"cell_4146","P08","ETC"
"cell_4147","P08","ETC"
"cell_4148","P08","ETC"
"cell_4149","P08","ETC"
"cell_4150","P08","ETC"
"cell_4151","P08","ETC"
"cell_4152","P08","ETC"
"cell_4153","P08","ETC"
"cell_4154","P08","ETC"
"cell_4155","P08","ETC"
"cell_4156","P08","TAM"
"cell_4157","P08","ETC"
"cell_4158","P08","ETC"
"cell_4159","P08","ETC"
"cell_4160","P08","ETC"
"cell_4161","P08","ETC"
"cell_4162","P08","CAF"
"cell_4163","P08","ETC"
"cell_4164","P08","CAF"
"cell_4165","P08","ETC"
"cell_4166","P08","ETC"
"cell_4167","P08","ETC"
"cell_4168","P08","ETC"
"cell_4169","P08","CAF"
"cell_4170","P08","ETC"
"cell_4171","P08","ETC"
"cell_4172","P08","TAM"
"cell_4173","P08","ETC"
"cell_4174","P08","ETC"
"cell_4175","P08","ETC"
"cell_4176","P08","CAF"
"cell_4177","P08","CAF"
"cell_4178","P08","ETC"
"cell_4179","P08","CAF"
"cell_4180","P08","ETC"
"cell_4181","P08","TAM"
"cell_4182","P08","ETC"
"cell_4183","P08","ETC"
"cell_4184","P08","ETC"
"cell_4185","P08","ETC"
"cell_4186","P08","ETC"
"cell_4187","P08","ETC"
"cell_4188","P08","ETC"
"cell_4189","P08","TAM"
"cell_4190","P08","CAF"
"cell_4191","P08","ETC"
"cell_4192","P08","ETC"
"cell_4193","P08","ETC"
"cell_4194","P08","DC"
"cell_4195","P08","ETC"
"cell_4196","P08","CAF"
"cell_4197","P08","ETC"
"cell_4198","P08","TAM"
"cell_4199","P08","ETC"
"cell_4200","P08","ETC"
"cell_4201","P08","ETC"
"cell_4202","P08","CAF"
"cell_4203","P08","TAM"
"cell_4204","P08","ETC"
"cell_4205","P08","ETC"
"cell_4206","P08","ETC"
"cell_4207","P08","ETC"
"cell_4208","P08","DC"
"cell_4209","P08","ETC"
"cell_4210","P08","TAM"
"cell_4211","P08","ETC"
"cell_4212","P08","ETC"
"cell_4213","P08","DC"
"cell_4214","P08","ETC"
"cell_4215","P08","CAF"
"cell_4216","P08","ETC"
"cell_4217","P08","ETC"
"cell_4218","P08","DC"
"cell_4219","P08","TAM"
"cell_4220","P08","CAF"
"cell_4221","P08","ETC"
"cell_4222","P08","CAF"
"cell_4223","P08","ETC"
"cell_4224","P08","ETC"
"cell_4225","P08","TIL"
"cell_4226","P08","ETC"
"cell_4227","P08","ETC"
"cell_4228","P08","CAF"
"cell_4229","P08","CAF"
"cell_4230","P08","ETC"
"cell_4231","P08","CAF"
"cell_4232","P08","ETC"
"cell_4233","P08","TAM"
"cell_4234","P08","ETC"
"cell_4235","P08","ETC"
"cell_4236","P08","CAF"
"cell_4237","P08","ETC"
"cell_4238","P08","ETC"
"cell_4239","P08","ETC"
"cell_4240","P08","ETC"
"cell_4241","P08","CAF"
"cell_4242","P08","DC"
"cell_4243","P08","ETC"
"cell_4244","P08","CAF"
"cell_4245","P08","ETC"
"cell_4246","P08","ETC"
"cell_4247","P08","DC"
"cell_4248","P08","ETC"
"cell_4249","P08","ETC"
"cell_4250","P08","ETC"
"cell_4251","P08","TAM"
"cell_4252","P08","CAF"
"cell_4253","P08","CAF"
"cell_4254","P08","ETC"
"cell_4255","P08","CAF"
"cell_4256","P08","ETC"
"cell_4257","P08","TAM"
"cell_4258","P08","CAF"
"cell_4259","P08","ETC"
"cell_4260","P08","ETC"
"cell_4261","P08","ETC"
"cell_4262","P08","ETC"
"cell_4263","P08","ETC"
"cell_4264","P08","ETC"
"cell_4265","P08","ETC"
"cell_4266","P08","CAF"
"cell_4267","P08","ETC"
"cell_4268","P08","TAM"
"cell_4269","P08","ETC"
"cell_4270","P08","ETC"
"cell_4271","P08","DC"
"cell_4272","P08","ETC"
"cell_4273","P08","ETC"
"cell_4274","P08","ETC"
"cell_4275","P08","TAM"
"cell_4276","P08","ETC"
"cell_4277","P08","ETC"
"cell_4278","P08","ETC"
"cell_4279","P08","TAM"
"cell_4280","P08","DC"
"cell_4281","P08","TAM"
"cell_4282","P08","ETC"
"cell_4283","P08","ETC"
"cell_4284","P08","ETC"
"cell_4285","P08","ETC"
"cell_4286","P08","ETC"
"cell_4287","P08","ETC"
"cell_4288","P08","CAF"
"cell_4289","P08","ETC"
"cell_4290","P08","ETC"
"cell_4291","P08","CAF"
"cell_4292","P08","ETC"
"cell_4293","P08","ETC"
"cell_4294","P08","ETC"
"cell_4295","P08","TAM"
"cell_4296","P08","ETC"
"cell_4297","P08","ETC"
"cell_4298","P08","ETC"
"cell_4299","P08","ETC"
"cell_4300","P08","DC"
"cell_4301","P08","ETC"
"cell_4302","P08","ETC"
"cell_4303","P08","DC"
"cell_4304","P08","ETC"
"cell_4305","P08","ETC"
"cell_4306","P08","ETC"
"cell_4307","P08","ETC"
"cell_4308","P08","ETC"
"cell_4309","P08","ETC"
"cell_4310","P08","ETC"
"cell_4311","P08","ETC"
"cell_4312","P08","ETC"
"cell_4313","P08","ETC"
"cell_4314","P08","ETC"
"cell_4315","P08","ETC"
"cell_4316","P08","ETC"
"cell_4317","P08","TAM"
"cell_4318","P08","CAF"
"cell_4319","P08","ETC"
"cell_4320","P08","CAF"
"cell_4321","P08","ETC"
"cell_4322","P08","ETC"
"cell_4323","P08","CAF"
"cell_4324","P08","ETC"
"cell_4325","P08","ETC"
"cell_4326","P08","ETC"
"cell_4327","P08","ETC"
"cell_4328","P08","ETC"
"cell_4329","P08","ETC"
"cell_4330","P08","ETC"
"cell_4331","P08","ETC"
"cell_4332","P08","Endo"
"cell_4333","P08","ETC"
"cell_4334","P08","ETC"
"cell_4335","P08","DC"
"cell_4336","P08","ETC"
"cell_4337","P08","ETC"
"cell_4338","P08","ETC"
"cell_4339","P08","ETC"
"cell_4340","P08","ETC"
"cell_4341","P08","CAF"
"cell_4342","P08","ETC"
"cell_4343","P08","ETC"
"cell_4344","P08","ETC"
"cell_4345","P08","ETC"
"cell_4346","P08","CAF"
"cell_4347","P08","ETC"
"cell_4348","P08","ETC"
"cell_4349","P08","ETC"
"cell_4350","P08","ETC"
"cell_4351","P08","ETC"
"cell_4352","P08","ETC"
"cell_4353","P08","ETC"
"cell_4354","P08","ETC"
"cell_4355","P08","CAF"
"cell_4356","P08","ETC"
"cell_4357","P08","ETC"
"cell_4358","P08","ETC"
"cell_4359","P08","ETC"
"cell_4360","P08","CAF"
"cell_4361","P08","ETC"
"cell_4362","P08","ETC"
"cell_4363","P08","ETC"
"cell_4364","P08","ETC"
"cell_4365","P08","CAF"
"cell_4366","P08","Endo"
"cell_4367","P08","CAF"
"cell_4368","P08","ETC"
"cell_4369","P08","ETC"
"cell_4370","P08","TAM"
"cell_4371","P08","ETC"
"cell_4372","P08","DC"
"cell_4373","P08","ETC"
"cell_4374","P08","ETC"
"cell_4375","P08","CAF"
"cell_4376","P08","ETC"
"cell_4377","P08","ETC"
"cell_4378","P08","CAF"
"cell_4379","P08","DC"
"cell_4380","P08","ETC"
"cell_4381","P08","ETC"
"cell_4382","P08","TAM"
"cell_4383","P08","ETC"
"cell_4384","P08","ETC"
"cell_4385","P08","CAF"
"cell_4386","P08","ETC"
"cell_4387","P08","ETC"
"cell_4388","P08","ETC"
"cell_4389","P08","ETC"
"cell_4390","P08","CAF"
"cell_4391","P08","ETC"
"cell_4392","P08","ETC"
"cell_4393","P08","ETC"
"cell_4394","P08","CAF"
"cell_4395","P08","CAF"
"cell_4396","P08","ETC"
"cell_4397","P08","ETC"
"cell_4398","P08","ETC"
"cell_4399","P08","ETC"
"cell_4400","P08","ETC"
"cell_4401","P08","ETC"
"cell_4402","P08","ETC"
"cell_4403","P08","ETC"
"cell_4404","P08","ETC"
"cell_4405","P08","ETC"
"cell_4406","P08","ETC"
"cell_4407","P08","ETC"
"cell_4408","P08","ETC"
"cell_4409","P08","ETC"
"cell_4410","P08","ETC"
"cell_4411","P08","CAF"
"cell_4412","P08","ETC"
"cell_4413","P08","ETC"
"cell_4414","P08","DC"
"cell_4415","P08","TAM"
"cell_4416","P08","ETC"
"cell_4417","P08","CAF"
"cell_4418","P08","ETC"
"cell_4419","P08","ETC"
"cell_4420","P08","ETC"
"cell_4421","P08","ETC"
"cell_4422","P08","ETC"
"cell_4423","P08","ETC"
"cell_4424","P08","ETC"
"cell_4425","P08","CAF"
"cell_4426","P08","Endo"
"cell_4427","P08","ETC"
"cell_4428","P08","ETC"
"cell_4429","P08","ETC"
"cell_4430","P08","ETC"
"cell_4431","P08","ETC"
"cell_4432","P08","ETC"
"cell_4433","P08","ETC"
"cell_4434","P08","ETC"
"cell_4435","P08","CAF"
"cell_4436","P08","CAF"
"cell_4437","P08","ETC"
"cell_4438","P08","TAM"
"cell_4439","P08","ETC"
"cell_4440","P08","ETC"
"cell_4441","P08","ETC"
"cell_4442","P08","DC"
"cell_4443","P08","ETC"
"cell_4444","P08","ETC"
"cell_4445","P08","ETC"
"cell_4446","P08","CAF"
"cell_4447","P08","TAM"
"cell_4448","P08","ETC"
"cell_4449","P08","CAF"
"cell_4450","P08","ETC"
"cell_4451","P08","ETC"
"cell_4452","P08","ETC"
"cell_4453","P08","ETC"
"cell_4454","P08","ETC"
"cell_4455","P08","ETC"
"cell_4456","P08","ETC"
"cell_4457","P08","ETC"
"cell_4458","P08","ETC"
"cell_4459","P08","ETC"
"cell_4460","P08","ETC"
"cell_4461","P08","ETC"
"cell_4462","P08","ETC"
"cell_4463","P08","ETC"
"cell_4464","P08","CAF"
"cell_4465","P08","ETC"
"cell_4466","P08","ETC"
"cell_4467","P08","ETC"
"cell_4468","P08","ETC"
"cell_4469","P08","TAM"
"cell_4470","P08","TAM"
"cell_4471","P08","ETC"
"cell_4472","P08","CAF"
"cell_4473","P08","ETC"
"cell_4474","P08","ETC"
"cell_4475","P08","ETC"
"cell_4476","P08","ETC"
"cell_4477","P08","CAF"
"cell_4478","P08","ETC"
"cell_4479","P08","ETC"
"cell_4480","P08","ETC"
"cell_4481","P08","ETC"
"cell_4482","P08","ETC"
"cell_4483","P08","ETC"
"cell_4484","P08","ETC"
"cell_4485","P08","CAF"
"cell_4486","P08","ETC"
"cell_4487","P08","ETC"
"cell_4488","P08","TAM"
"cell_4489","P08","CAF"
"cell_4490","P08","DC"
"cell_4491","P08","ETC"
"cell_4492","P08","CAF"
"cell_4493","P08","ETC"
"cell_4494","P08","ETC"
"cell_4495","P08","ETC"
"cell_4496","P08","DC"
"cell_4497","P08","TAM"
"cell_4498","P08","ETC"
"cell_4499","P08","ETC"
"cell_4500","P08","ETC"
"cell_4501","P08","CAF"
"cell_4502","P08","TAM"
"cell_4503","P08","CAF"
"cell_4504","P08","ETC"
"cell_4505","P08","ETC"
"cell_4506","P08","CAF"
"cell_4507","P08","ETC"
"cell_4508","P08","ETC"
"cell_4509","P08","ETC"
"cell_4510","P08","ETC"
"cell_4511","P08","ETC"
"cell_4512","P08","ETC"
"cell_4513","P08","ETC"
"cell_4514","P08","ETC"
"cell_4515","P08","ETC"
"cell_4516","P08","CAF"
"cell_4517","P08","ETC"
"cell_4518","P08","ETC"
"cell_4519","P08","CAF"
"cell_4520","P08","ETC"
"cell_4521","P08","ETC"
"cell_4522","P08","ETC"
"cell_4523","P08","CAF"
"cell_4524","P08","ETC"
"cell_4525","P08","ETC"
"cell_4526","P08","DC"
"cell_4527","P08","ETC"
"cell_4528","P08","ETC"
"cell_4529","P08","ETC"
"cell_4530","P08","ETC"
"cell_4531","P08","ETC"
"cell_4532","P08","ETC"
"cell_4533","P08","ETC"
"cell_4534","P08","ETC"
"cell_4535","P08","CAF"
"cell_4536","P08","ETC"
"cell_4537","P08","ETC"
"cell_4538","P08","ETC"
"cell_4539","P08","CAF"
"cell_4540","P08","ETC"
"cell_4541","P08","CAF"
"cell_4542","P08","ETC"
"cell_4543","P08","ETC"
"cell_4544","P08","ETC"
"cell_4545","P08","ETC"
"cell_4546","P08","ETC"
"cell_4547","P08","ETC"
"cell_4548","P08","ETC"
"cell_4549","P08","ETC"
"cell_4550","P08","ETC"
"cell_4551","P08","ETC"
"cell_4552","P08","ETC"
"cell_4553","P08","ETC"
"cell_4554","P08","ETC"
"cell_4555","P08","ETC"
"cell_4556","P08","ETC"
"cell_4557","P08","ETC"
"cell_4558","P08","Endo"
"cell_4559","P08","ETC"
"cell_4560","P08","ETC"
"cell_4561","P08","ETC"
"cell_4562","P08","ETC"
"cell_4563","P08","ETC"
"cell_4564","P08","ETC"
"cell_4565","P08","ETC"
"cell_4566","P08","ETC"
"cell_4567","P08","TAM"
"cell_4568","P08","ETC"
"cell_4569","P08","TAM"
"cell_4570","P08","ETC"
"cell_4571","P08","ETC"
"cell_4572","P08","ETC"
"cell_4573","P08","ETC"
"cell_4574","P08","ETC"
"cell_4575","P08","ETC"
"cell_4576","P08","ETC"
"cell_4577","P08","ETC"
"cell_4578","P08","ETC"
"cell_4579","P08","ETC"
"cell_4580","P08","ETC"
"cell_4581","P08","DC"
"cell_4582","P08","ETC"
"cell_4583","P08","ETC"
"cell_4584","P08","ETC"
"cell_4585","P08","ETC"
"cell_4586","P08","ETC"
"cell_4587","P08","ETC"
"cell_4588","P08","ETC"
"cell_4589","P08","ETC"
"cell_4590","P08","TAM"
"cell_4591","P08","CAF"
"cell_4592","P08","ETC"
"cell_4593","P08","ETC"
"cell_4594","P08","CAF"
"cell_4595","P08","TAM"
"cell_4596","P08","ETC"
"cell_4597","P08","ETC"
"cell_4598","P08","ETC"
"cell_4599","P08","ETC"
"cell_4600","P08","ETC"
"cell_4601","P08","CAF"
"cell_4602","P08","ETC"
"cell_4603","P08","ETC"
"cell_4604","P08","ETC"
"cell_4605","P08","ETC"
"cell_4606","P08","ETC"
"cell_4607","P08","ETC"
"cell_4608","P08","ETC"
"cell_4609","P08","ETC"
"cell_4610","P08","CAF"
"cell_4611","P08","CAF"
"cell_4612","P08","ETC"
"cell_4613","P08","ETC"
"cell_4614","P08","Endo"
"cell_4615","P08","TAM"
"cell_4616","P08","ETC"
"cell_4617","P08","ETC"
"cell_4618","P08","Endo"
"cell_4619","P08","ETC"
"cell_4620","P08","ETC"
"cell_4621","P08","ETC"
"cell_4622","P08","ETC"
"cell_4623","P08","CAF"
"cell_4624","P08","ETC"
"cell_4625","P08","ETC"
"cell_4626","P08","CAF"
"cell_4627","P08","ETC"
"cell_4628","P08","ETC"
"cell_4629","P08","CAF"
"cell_4630","P08","ETC"
"cell_4631","P08","ETC"
"cell_4632","P08","ETC"
"cell_4633","P08","ETC"
"cell_4634","P08","ETC"
"cell_4635","P08","ETC"
"cell_4636","P08","ETC"
"cell_4637","P08","ETC"
"cell_4638","P08","TIL"
"cell_4639","P08","ETC"
"cell_4640","P08","CAF"
"cell_4641","P08","ETC"
"cell_4642","P08","ETC"
"cell_4643","P08","ETC"
"cell_4644","P08","ETC"
"cell_4645","P08","ETC"
"cell_4646","P08","ETC"
"cell_4647","P08","ETC"
"cell_4648","P08","ETC"
"cell_4649","P08","ETC"
"cell_4650","P08","ETC"
"cell_4651","P08","ETC"
"cell_4652","P08","ETC"
"cell_4653","P08","ETC"
"cell_4654","P08","ETC"
"cell_4655","P08","ETC"
"cell_4656","P08","ETC"
"cell_4657","P08","ETC"
"cell_4658","P08","ETC"
"cell_4659","P08","ETC"
"cell_4660","P08","ETC"
"cell_4661","P08","ETC"
"cell_4662","P08","CAF"
"cell_4663","P08","ETC"
"cell_4664","P08","ETC"
"cell_4665","P08","DC"
"cell_4666","P08","TAM"
"cell_4667","P08","ETC"
"cell_4668","P08","TAM"
"cell_4669","P08","ETC"
"cell_4670","P08","CAF"
"cell_4671","P08","ETC"
"cell_4672","P08","ETC"
"cell_4673","P08","CAF"
"cell_4674","P08","DC"
"cell_4675","P08","TAM"
"cell_4676","P08","ETC"
"cell_4677","P08","ETC"
"cell_4678","P08","ETC"
"cell_4679","P08","ETC"
"cell_4680","P08","ETC"
"cell_4681","P08","ETC"
"cell_4682","P08","ETC"
"cell_4683","P08","ETC"
"cell_4684","P08","ETC"
"cell_4685","P08","TAM"
"cell_4686","P08","ETC"
"cell_4687","P08","ETC"
"cell_4688","P08","ETC"
"cell_4689","P08","DC"
"cell_4690","P08","Endo"
"cell_4691","P08","ETC"
"cell_4692","P08","ETC"
"cell_4693","P08","CAF"
"cell_4694","P08","ETC"
"cell_4695","P08","CAF"
"cell_4696","P08","ETC"
"cell_4697","P08","ETC"
"cell_4698","P08","ETC"
"cell_4699","P08","ETC"
"cell_4700","P08","ETC"
"cell_4701","P08","ETC"
"cell_4702","P08","ETC"
"cell_4703","P08","ETC"
"cell_4704","P08","ETC"
"cell_4705","P08","ETC"
"cell_4706","P08","CAF"
"cell_4707","P08","CAF"
"cell_4708","P08","CAF"
"cell_4709","P08","ETC"
"cell_4710","P08","ETC"
"cell_4711","P08","ETC"
"cell_4712","P08","ETC"
"cell_4713","P08","CAF"
"cell_4714","P08","ETC"
"cell_4715","P08","ETC"
"cell_4716","P08","ETC"
"cell_4717","P08","CAF"
"cell_4718","P08","TAM"
"cell_4719","P08","ETC"
"cell_4720","P08","ETC"
"cell_4721","P08","ETC"
"cell_4722","P08","ETC"
"cell_4723","P08","ETC"
"cell_4724","P08","ETC"
"cell_4725","P08","ETC"
"cell_4726","P08","TAM"
"cell_4727","P08","CAF"
"cell_4728","P08","ETC"
"cell_4729","P08","ETC"
"cell_4730","P08","ETC"
"cell_4731","P08","ETC"
"cell_4732","P08","ETC"
"cell_4733","P08","ETC"
"cell_4734","P08","ETC"
"cell_4735","P08","ETC"
"cell_4736","P08","CAF"
"cell_4737","P08","TAM"
"cell_4738","P08","ETC"
"cell_4739","P08","ETC"
"cell_4740","P08","TAM"
"cell_4741","P08","ETC"
"cell_4742","P08","ETC"
"cell_4743","P08","DC"
"cell_4744","P08","CAF"
"cell_4745","P08","ETC"
"cell_4746","P08","ETC"
"cell_4747","P08","ETC"
"cell_4748","P08","TAM"
"cell_4749","P08","TAM"
"cell_4750","P08","CAF"
"cell_4751","P08","ETC"
"cell_4752","P08","ETC"
"cell_4753","P08","CAF"
"cell_4754","P08","ETC"
"cell_4755","P08","CAF"
"cell_4756","P08","ETC"
"cell_4757","P08","Endo"
"cell_4758","P08","ETC"
"cell_4759","P08","ETC"
"cell_4760","P08","ETC"
"cell_4761","P08","CAF"
"cell_4762","P08","ETC"
"cell_4763","P08","Endo"
"cell_4764","P08","ETC"
"cell_4765","P08","DC"
"cell_4766","P08","ETC"
"cell_4767","P08","ETC"
"cell_4768","P08","ETC"
"cell_4769","P08","ETC"
"cell_4770","P08","ETC"
"cell_4771","P08","ETC"
"cell_4772","P08","ETC"
"cell_4773","P08","ETC"
"cell_4774","P08","ETC"
"cell_4775","P08","CAF"
"cell_4776","P08","CAF"
"cell_4777","P08","CAF"
"cell_4778","P08","ETC"
"cell_4779","P08","DC"
"cell_4780","P08","ETC"
"cell_4781","P08","ETC"
"cell_4782","P08","CAF"
"cell_4783","P08","ETC"
"cell_4784","P08","CAF"
"cell_4785","P08","ETC"
"cell_4786","P08","ETC"
"cell_4787","P08","ETC"
"cell_4788","P08","ETC"
"cell_4789","P08","ETC"
"cell_4790","P08","CAF"
"cell_4791","P08","ETC"
"cell_4792","P08","TAM"
"cell_4793","P08","TAM"
"cell_4794","P08","DC"
"cell_4795","P08","CAF"
"cell_4796","P08","CAF"
"cell_4797","P08","Endo"
"cell_4798","P08","ETC"
"cell_4799","P08","CAF"
"cell_4800","P08","ETC"
"cell_4801","P08","CAF"
"cell_4802","P08","ETC"
"cell_4803","P08","TAM"
"cell_4804","P08","ETC"
"cell_4805","P08","ETC"
"cell_4806","P08","ETC"
"cell_4807","P08","ETC"
"cell_4808","P08","ETC"
"cell_4809","P08","ETC"
"cell_4810","P08","ETC"
"cell_4811","P08","TAM"
"cell_4812","P08","ETC"
"cell_4813","P08","ETC"
"cell_4814","P08","ETC"
"cell_4815","P08","ETC"
"cell_4816","P08","CAF"
"cell_4817","P08","ETC"
"cell_4818","P08","ETC"
"cell_4819","P08","ETC"
"cell_4820","P08","ETC"
"cell_4821","P08","ETC"
"cell_4822","P08","CAF"
"cell_4823","P08","ETC"
"cell_4824","P08","ETC"
"cell_4825","P08","ETC"
"cell_4826","P08","ETC"
"cell_4827","P08","ETC"
"cell_4828","P08","ETC"
"cell_4829","P08","ETC"
"cell_4830","P08","TAM"
"cell_4831","P08","ETC"
"cell_4832","P08","ETC"
"cell_4833","P08","ETC"
"cell_4834","P08","ETC"
"cell_4835","P08","ETC"
"cell_4836","P08","ETC"
"cell_4837","P08","ETC"
"cell_4838","P08","ETC"
"cell_4839","P08","ETC"
"cell_4840","P08","ETC"
"cell_4841","P08","ETC"
"cell_4842","P08","ETC"
"cell_4843","P08","ETC"
"cell_4844","P08","CAF"
"cell_4845","P08","TIL"
"cell_4846","P08","ETC"
"cell_4847","P08","ETC"
"cell_4848","P08","ETC"
"cell_4849","P08","CAF"
"cell_4850","P08","ETC"
"cell_4851","P08","CAF"
"cell_4852","P08","CAF"
"cell_4853","P08","ETC"
"cell_4854","P08","TAM"
"cell_4855","P08","ETC"
"cell_4856","P08","ETC"
"cell_4857","P08","ETC"
"cell_4858","P08","ETC"
"cell_4859","P08","ETC"
"cell_4860","P08","CAF"
"cell_4861","P08","ETC"
"cell_4862","P08","CAF"
"cell_4863","P08","CAF"
"cell_4864","P08","ETC"
"cell_4865","P08","ETC"
"cell_4866","P08","TAM"
"cell_4867","P08","ETC"
"cell_4868","P08","ETC"
"cell_4869","P08","DC"
"cell_4870","P08","ETC"
"cell_4871","P08","CAF"
"cell_4872","P08","ETC"
"cell_4873","P08","ETC"
"cell_4874","P08","ETC"
"cell_4875","P08","ETC"
"cell_4876","P08","DC"
"cell_4877","P08","ETC"
"cell_4878","P08","ETC"
"cell_4879","P08","ETC"
"cell_4880","P08","ETC"
"cell_4881","P08","ETC"
"cell_4882","P08","ETC"
"cell_4883","P08","ETC"
"cell_4884","P08","Endo"
"cell_4885","P08","CAF"
"cell_4886","P08","ETC"
"cell_4887","P08","ETC"
"cell_4888","P08","ETC"
"cell_4889","P08","ETC"
"cell_4890","P08","ETC"
"cell_4891","P08","ETC"
"cell_4892","P08","TAM"
"cell_4893","P08","ETC"
"cell_4894","P08","ETC"
"cell_4895","P08","ETC"
"cell_4896","P08","ETC"
"cell_4897","P08","ETC"
"cell_4898","P08","TAM"
"cell_4899","P08","ETC"
"cell_4900","P08","ETC"
"cell_4901","P08","ETC"
"cell_4902","P08","ETC"
"cell_4903","P08","ETC"
"cell_4904","P08","ETC"
"cell_4905","P08","ETC"
"cell_4906","P08","CAF"
"cell_4907","P08","ETC"
"cell_4908","P08","ETC"
"cell_4909","P08","ETC"
"cell_4910","P08","ETC"
"cell_4911","P08","ETC"
"cell_4912","P08","ETC"
"cell_4913","P08","ETC"
"cell_4914","P08","ETC"
"cell_4915","P08","ETC"
"cell_4916","P08","ETC"
"cell_4917","P08","DC"
"cell_4918","P08","ETC"
"cell_4919","P08","ETC"
"cell_4920","P08","ETC"
"cell_4921","P08","ETC"
"cell_4922","P08","ETC"
"cell_4923","P08","TAM"
"cell_4924","P08","ETC"
"cell_4925","P08","ETC"
"cell_4926","P08","TAM"
"cell_4927","P08","ETC"
"cell_4928","P08","ETC"
"cell_4929","P08","ETC"
"cell_4930","P08","TIL"
"cell_4931","P08","ETC"
"cell_4932","P08","ETC"
"cell_4933","P08","CAF"
"cell_4934","P08","ETC"
"cell_4935","P08","CAF"
"cell_4936","P08","ETC"
"cell_4937","P08","CAF"
"cell_4938","P08","ETC"
"cell_4939","P08","ETC"
"cell_4940","P08","ETC"
"cell_4941","P08","DC"
"cell_4942","P08","ETC"
"cell_4943","P08","DC"
"cell_4944","P08","ETC"
"cell_4945","P08","ETC"
"cell_4946","P08","ETC"
"cell_4947","P08","DC"
"cell_4948","P08","ETC"
"cell_4949","P08","TAM"
"cell_4950","P08","ETC"
"cell_4951","P08","ETC"
"cell_4952","P08","DC"
"cell_4953","P08","ETC"
"cell_4954","P08","ETC"
"cell_4955","P08","ETC"
"cell_4956","P08","ETC"
"cell_4957","P08","ETC"
"cell_4958","P08","ETC"
"cell_4959","P08","ETC"
"cell_4960","P08","ETC"
"cell_4961","P08","TAM"
"cell_4962","P08","CAF"
"cell_4963","P08","ETC"
"cell_4964","P08","ETC"
"cell_4965","P08","ETC"
"cell_4966","P08","DC"
"cell_4967","P08","ETC"
"cell_4968","P08","ETC"
"cell_4969","P08","ETC"
"cell_4970","P08","ETC"
"cell_4971","P08","CAF"
"cell_4972","P08","ETC"
"cell_4973","P08","ETC"
"cell_4974","P08","ETC"
"cell_4975","P08","ETC"
"cell_4976","P08","CAF"
"cell_4977","P08","CAF"
"cell_4978","P08","ETC"
"cell_4979","P08","CAF"
"cell_4980","P08","ETC"
"cell_4981","P08","ETC"
"cell_4982","P08","ETC"
"cell_4983","P09","TAM"
"cell_4984","P09","ETC"
"cell_4985","P09","TAM"
