LR,cell_type_pair,Edge_average_expression_weight,Patient
ECM1->ITGB4,EMT->EMT,0.1568955589327469,P01
ECM1->ITGB4,EMT->ETC,0.1820306844916482,P01
ECM1->ITGB4,EMT->Endo,0.0758118432968496,P01
ECM1->ITGB4,EMT->TAM,0.2004403323390933,P01
ECM1->ITGB4,ETC->CAF,0.0168340888096405,P01
ECM1->ITGB4,ETC->EMT,0.1009672583974257,P01
ECM1->ITGB4,ETC->ETC,0.1171425072981621,P01
ECM1->ITGB4,ETC->Endo,0.04878732083818421,P01
ECM1->ITGB4,ETC->TAM,0.1289896984096413,P01
ADAM9->ITGA3,CAF->CAF,0.03511618582279685,P01
ADAM9->ITGA3,CAF->EMT,0.083141564974687,P01
ADAM9->ITGA3,CAF->ETC,0.1807958558278716,P01
ADAM9->ITGA3,EMT->CAF,0.08286587423515938,P01
ADAM9->ITGA3,EMT->EMT,0.1961943845972626,P01
ADAM9->ITGA3,EMT->ETC,0.4266353620199967,P01
ADAM9->ITGA3,ETC->CAF,0.08211912426316904,P01
ADAM9->ITGA3,ETC->EMT,0.1944263690835795,P01
ADAM9->ITGA3,ETC->ETC,0.4227907161078036,P01
ADAM9->ITGA3,Endo->CAF,0.02327900839435511,P01
ADAM9->ITGA3,Endo->EMT,0.05511570074074203,P01
ADAM9->ITGA3,Endo->ETC,0.1198520894814661,P01
WNT7B->FZD8,EMT->ETC,0.002115207285361406,P01
WNT7B->FZD8,ETC->ETC,0.03447182517822989,P01
ADM->MRGPRX2,NA,NA,NA
SPP1->ITGA4,CAF->CAF,0.09511667915496694,P01
SPP1->ITGA4,CAF->EMT,0.05622916551189278,P01
SPP1->ITGA4,CAF->TIL,0.4094515480495599,P01
SPP1->ITGA4,DC->CAF,0.0514026791451677,P01
SPP1->ITGA4,DC->EMT,0.03038720210888926,P01
SPP1->ITGA4,DC->TIL,0.2212746148926572,P01
SPP1->ITGA4,EMT->CAF,0.1070019738549463,P01
SPP1->ITGA4,EMT->EMT,0.06325527501003819,P01
SPP1->ITGA4,EMT->TIL,0.4606145234305992,P01
SPP1->ITGA4,ETC->CAF,0.2823448125182064,P01
SPP1->ITGA4,ETC->EMT,0.1669109280891198,P01
SPP1->ITGA4,ETC->TIL,1.215417964508546,P01
SPP1->ITGA4,Endo->CAF,0.1931998766258297,P01
SPP1->ITGA4,Endo->EMT,0.1142120176627693,P01
SPP1->ITGA4,Endo->TIL,0.8316731541746544,P01
SPP1->ITGA4,TAM->CAF,0.2116055058860975,P01
SPP1->ITGA4,TAM->EMT,0.1250926874172294,P01
SPP1->ITGA4,TAM->TIL,0.9109044042602961,P01
SPP1->ITGA4,TIL->CAF,0.08254794035519292,P01
SPP1->ITGA4,TIL->EMT,0.04879903127542709,P01
SPP1->ITGA4,TIL->TIL,0.3553465308820287,P01
SPP1->ITGA9,CAF->Endo,0.07708122271808658,P01
SPP1->ITGA9,DC->Endo,0.04165601022550117,P01
SPP1->ITGA9,EMT->Endo,0.08671289884448512,P01
SPP1->ITGA9,ETC->Endo,0.2288082760075607,P01
SPP1->ITGA9,Endo->Endo,0.156566470272157,P01
SPP1->ITGA9,TAM->Endo,0.1714821340745675,P01
SPP1->ITGA9,TIL->Endo,0.06689569307893237,P01
SPP1->ITGB3,CAF->CAF,0.02631126096363013,P01
SPP1->ITGB3,CAF->DC,0.0505986998927024,P01
SPP1->ITGB3,CAF->EMT,0.009265866233099468,P01
SPP1->ITGB3,DC->CAF,0.01421905513558534,P01
SPP1->ITGB3,DC->DC,0.02734440225262422,P01
SPP1->ITGB3,DC->EMT,0.005007432484118471,P01
SPP1->ITGB3,EMT->CAF,0.02959898182666951,P01
SPP1->ITGB3,EMT->DC,0.05692125514803039,P01
SPP1->ITGB3,EMT->EMT,0.01042368157957043,P01
SPP1->ITGB3,ETC->CAF,0.07810247487499486,P01
