LR,cell_type_pair,number_of_patient
ANXA1->DYSF,Endo->Endo,7
ANXA1->DYSF,Endo->ETC,4
ANXA1->DYSF,Endo->TAM,3
ANXA1->DYSF,Endo->TIL,2
ANXA1->DYSF,ETC->CAF,7
ANXA1->DYSF,ETC->DC,2
ANXA1->DYSF,ETC->EMT,2
ANXA1->DYSF,ETC->Endo,7
ANXA1->DYSF,ETC->ETC,6
ANXA1->DYSF,ETC->TAM,4
ANXA1->DYSF,ETC->TIL,2
ANXA1->DYSF,TAM->CAF,7
ANXA1->DYSF,TAM->DC,2
ANXA1->DYSF,TAM->EMT,2
ANXA1->DYSF,TAM->Endo,7
ANXA1->DYSF,TAM->ETC,5
ANXA1->DYSF,TAM->TAM,4
ANXA1->DYSF,TAM->TIL,2
ANXA1->DYSF,TIL->CAF,7
ANXA1->DYSF,TIL->DC,2
ANXA1->DYSF,TIL->EMT,2
ANXA1->DYSF,TIL->Endo,7
ANXA1->DYSF,TIL->ETC,5
ANXA1->DYSF,TIL->TAM,4
ANXA1->DYSF,TIL->TIL,2
ANXA1->EGFR,CAF->CAF,8
ANXA1->EGFR,CAF->DC,3
ANXA1->EGFR,CAF->EMT,3
ANXA1->EGFR,CAF->Endo,4
ANXA1->EGFR,CAF->ETC,10
ANXA1->EGFR,CAF->TAM,3
ANXA1->EGFR,DC->CAF,7
ANXA1->EGFR,DC->DC,3
ANXA1->EGFR,DC->EMT,2
ANXA1->EGFR,DC->Endo,4
ANXA1->EGFR,DC->ETC,9
ANXA1->EGFR,DC->TAM,3
ANXA1->EGFR,EMT->CAF,2
ANXA1->EGFR,EMT->EMT,3
ANXA1->EGFR,EMT->Endo,1
ANXA1->EGFR,EMT->ETC,3
ANXA1->EGFR,EMT->TAM,1
ANXA1->EGFR,Endo->CAF,6
ANXA1->EGFR,Endo->DC,2
ANXA1->EGFR,Endo->EMT,2
ANXA1->EGFR,Endo->Endo,4
ANXA1->EGFR,Endo->ETC,7
ANXA1->EGFR,Endo->TAM,3
ANXA1->EGFR,ETC->CAF,8
ANXA1->EGFR,ETC->DC,3
ANXA1->EGFR,ETC->EMT,3
ANXA1->EGFR,ETC->Endo,4
ANXA1->EGFR,ETC->ETC,10
ANXA1->EGFR,ETC->TAM,3
ANXA1->EGFR,TAM->CAF,7
ANXA1->EGFR,TAM->DC,3
ANXA1->EGFR,TAM->EMT,2
ANXA1->EGFR,TAM->Endo,4
ANXA1->EGFR,TAM->ETC,9
ANXA1->EGFR,TAM->TAM,3
ANXA1->EGFR,TIL->CAF,7
ANXA1->EGFR,TIL->DC,3
ANXA1->EGFR,TIL->EMT,2
ANXA1->EGFR,TIL->Endo,4
ANXA1->EGFR,TIL->ETC,9
ANXA1->EGFR,TIL->TAM,3
ANXA1->FPR1,CAF->CAF,3
ANXA1->FPR1,CAF->DC,7
ANXA1->FPR1,CAF->EMT,2
ANXA1->FPR1,CAF->Endo,1
ANXA1->FPR1,CAF->ETC,6
ANXA1->FPR1,CAF->TAM,9
ANXA1->FPR1,DC->CAF,3
ANXA1->FPR1,DC->DC,7
ANXA1->FPR1,DC->EMT,2
ANXA1->FPR1,DC->Endo,1
ANXA1->FPR1,DC->ETC,6
ANXA1->FPR1,DC->TAM,9
ANXA1->FPR1,EMT->EMT,2
ANXA1->FPR1,EMT->TAM,2
ANXA1->FPR1,Endo->CAF,2
ANXA1->FPR1,Endo->DC,5
ANXA1->FPR1,Endo->EMT,2
ANXA1->FPR1,Endo->Endo,1
ANXA1->FPR1,Endo->ETC,4
ANXA1->FPR1,Endo->TAM,7
ANXA1->FPR1,ETC->CAF,3
