LR,cell_type_pair,Patient
ADAM9->ITGA3,ETC->CAF,P01
ADAM9->ITGA3,ETC->EMT,P01
ADAM9->ITGA3,ETC->ETC,P01
ADAM9->ITGA3,Endo->CAF,P01
ADAM9->ITGA3,Endo->EMT,P01
ADAM9->ITGA3,Endo->ETC,P01
WNT7B->FZD8,EMT->ETC,P01
WNT7B->FZD8,ETC->ETC,P01
ADM->MRGPRX2,NA,NA
SPP1->ITGA4,CAF->CAF,P01
SPP1->ITGA4,CAF->EMT,P01
SPP1->ITGA4,CAF->TIL,P01
SPP1->ITGA4,DC->CAF,P01
SPP1->ITGA4,DC->EMT,P01
SPP1->ITGA4,DC->TIL,P01
SPP1->ITGA4,EMT->CAF,P01
SPP1->ITGA4,EMT->EMT,P01
SPP1->ITGA4,EMT->TIL,P01
SPP1->ITGA4,ETC->CAF,P01
SPP1->ITGA4,ETC->EMT,P01
SPP1->ITGA4,ETC->TIL,P01
SPP1->ITGA4,Endo->CAF,P01
SPP1->ITGA4,Endo->EMT,P01
SPP1->ITGA4,Endo->TIL,P01
SPP1->ITGA4,TAM->CAF,P01
SPP1->ITGA4,TAM->EMT,P01
SPP1->ITGA4,TAM->TIL,P01
SPP1->ITGA4,TIL->CAF,P01
SPP1->ITGA4,TIL->EMT,P01
SPP1->ITGA4,TIL->TIL,P01
SPP1->ITGA9,CAF->Endo,P01
SPP1->ITGA9,DC->Endo,P01
SPP1->ITGA9,EMT->Endo,P01
SPP1->ITGA9,ETC->Endo,P01
SPP1->ITGA9,Endo->Endo,P01
SPP1->ITGA9,TAM->Endo,P01
SPP1->ITGA9,TIL->Endo,P01
SPP1->ITGB3,CAF->CAF,P01
SPP1->ITGB3,CAF->DC,P01
SPP1->ITGB3,CAF->EMT,P01
SPP1->ITGB3,DC->CAF,P01
SPP1->ITGB3,DC->DC,P01
SPP1->ITGB3,DC->EMT,P01
SPP1->ITGB3,EMT->CAF,P01
SPP1->ITGB3,EMT->DC,P01
SPP1->ITGB3,EMT->EMT,P01
SPP1->ITGB3,ETC->CAF,P01
SPP1->ITGB3,ETC->DC,P01
SPP1->ITGB3,ETC->EMT,P01
SPP1->ITGB3,Endo->CAF,P01
SPP1->ITGB3,Endo->DC,P01
SPP1->ITGB3,Endo->EMT,P01
SPP1->ITGB3,TAM->CAF,P01
SPP1->ITGB3,TAM->DC,P01
SPP1->ITGB3,TAM->EMT,P01
SPP1->ITGB3,TIL->CAF,P01
SPP1->ITGB3,TIL->DC,P01
SPP1->ITGB3,TIL->EMT,P01
PTGS2->PTGDR2,NA,NA
FGB->ITGA5,EMT->CAF,P01
FGB->ITGA5,EMT->DC,P01
FGB->ITGA5,EMT->EMT,P01
FGB->ITGA5,EMT->ETC,P01
FGB->ITGA5,EMT->Endo,P01
FGB->ITGA5,ETC->CAF,P01
FGB->ITGA5,ETC->DC,P01
FGB->ITGA5,ETC->EMT,P01
FGB->ITGA5,ETC->ETC,P01
FGB->ITGA5,ETC->Endo,P01
VEGFA->NRP1,CAF->CAF,P01
VEGFA->NRP1,CAF->EMT,P01
VEGFA->NRP1,CAF->ETC,P01
VEGFA->NRP1,CAF->Endo,P01
VEGFA->NRP1,DC->CAF,P01
VEGFA->NRP1,DC->EMT,P01
VEGFA->NRP1,DC->ETC,P01
VEGFA->NRP1,DC->Endo,P01
VEGFA->NRP1,EMT->CAF,P01
VEGFA->NRP1,EMT->EMT,P01
VEGFA->NRP1,EMT->ETC,P01
VEGFA->NRP1,EMT->Endo,P01
VEGFA->NRP1,ETC->CAF,P01
VEGFA->NRP1,ETC->EMT,P01
VEGFA->NRP1,ETC->ETC,P01
VEGFA->NRP1,ETC->Endo,P01
SPP1->ITGB5,CAF->CAF,P01
SPP1->ITGB5,CAF->EMT,P01
SPP1->ITGB5,CAF->ETC,P01
SPP1->ITGB5,DC->CAF,P01
SPP1->ITGB5,DC->EMT,P01
SPP1->ITGB5,DC->ETC,P01
SPP1->ITGB5,EMT->CAF,P01
SPP1->ITGB5,EMT->EMT,P01
SPP1->ITGB5,EMT->ETC,P01
SPP1->ITGB5,ETC->CAF,P01
SPP1->ITGB5,ETC->EMT,P01
SPP1->ITGB5,ETC->ETC,P01
SPP1->ITGB5,Endo->CAF,P01
SPP1->ITGB5,Endo->EMT,P01
SPP1->ITGB5,Endo->ETC,P01
SPP1->ITGB5,TAM->CAF,P01
SPP1->ITGB5,TAM->EMT,P01
SPP1->ITGB5,TAM->ETC,P01
SPP1->ITGB5,TIL->CAF,P01
SPP1->ITGB5,TIL->EMT,P01
SPP1->ITGB5,TIL->ETC,P01
TGM2->ITGB1,CAF->CAF,P01
TGM2->ITGB1,CAF->DC,P01
TGM2->ITGB1,CAF->EMT,P01
TGM2->ITGB1,CAF->ETC,P01
TGM2->ITGB1,CAF->Endo,P01
TGM2->ITGB1,CAF->TIL,P01
TGM2->ITGB1,DC->CAF,P01
TGM2->ITGB1,DC->DC,P01
TGM2->ITGB1,DC->EMT,P01
